route_mode,split,liftoff_subset,sample_count,profile_depth_rmse_m,er_like_profile_error,normalized_param_mae,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,max_depth_error_m,volume_proxy_rel_error,route_used_accuracy,out_of_range_count,profile_rmse_delta_vs_force_baseline_all_test_pct,dice_delta_vs_force_baseline_all_test
force_baseline,train,nominal_0p008,32,0.00046434335854428355,0.30935573438182473,0.6857831114903092,1.5755489226430655,2.1108921375125647,0.9471729106735438,0.19371914688963443,0.2070190366357565,0.1878732554614544,0.1862651500850916,0.7619212145400788,0.8544802321194553,0.000947172909945948,0.5445856092372761,1.0,0,-37.165741435726254,0.13097748828551548
force_baseline,train,non_nominal,96,0.0006790977234534997,0.6144537348688269,0.9384556245058775,5.627065075095743,3.6514884607555964,1.4106029676040635,0.19900328495229283,0.21380834405620894,0.19542050175368786,0.18778100920220217,0.5821027753182171,0.7102337528781509,0.0014106029739195947,2.4770561563374485,1.0,0,-8.105497449862945,-0.013268990955788929
force_baseline,val,all,32,0.0007284438538590621,0.6678243273636326,0.9086801670491695,5.5912699066102505,2.6322431010194123,1.5019468006212264,0.19584396691061556,0.15664303302764893,0.2554229535162449,0.17546591721475124,0.6078580132514508,0.7329649329171493,0.001501946804637555,2.1229066164626405,1.0,0,-1.4280518484658613,0.009462189083209394
force_baseline,val,nominal_0p008,8,0.0005097355888210586,0.4016190767288208,0.6836729608476162,1.9183284640312195,1.449089104309678,1.0309421084821224,0.19252215698361397,0.15310583263635635,0.24894972145557404,0.17551090568304062,0.7816422193776145,0.8663993654898648,0.0010309420904377475,0.7608601356431106,1.0,0,-31.023331769393245,0.14289662165592498
force_baseline,val,non_nominal,24,0.0008013466088717299,0.7565594109085699,0.983682569116354,6.815583720803261,3.0266277665893235,1.6589483646675944,0.19695123688628277,0.15782209982474646,0.2575806975364685,0.17545092105865479,0.5499299445427296,0.6884867887262441,0.0016589483760374908,2.57692211006915,1.0,0,8.43704145850994,-0.03501595510769573
force_baseline,test,all,32,0.0007389971158318076,1.0016460048500448,0.9749785140156746,5.150373874465004,3.26063746586442,1.5289002726785839,0.22195333102717996,0.2764113135635853,0.19207628071308136,0.19737239927053452,0.597953641099464,0.7235027438339399,0.001528900258563226,3.551193152132911,1.0,0,0.0,0.0
force_baseline,test,nominal_0p008,8,0.0003330594072394888,0.31298541370779276,0.7203325554728508,1.8778077894821763,1.9728609323501587,0.6381535693071783,0.22658974677324295,0.2824019268155098,0.1906532645225525,0.20671404153108597,0.7387764381632839,0.8439570430594017,0.0006381535640684888,0.6588381767874536,1.0,0,-54.93089213689278,0.1204542992254618
force_baseline,test,non_nominal,24,0.0008743096853625806,1.2311995352307956,1.059860500196616,6.241229236125946,3.6898963103691735,1.8258158404690523,0.22040785911182562,0.27441444247961044,0.19255061944325766,0.19425851851701736,0.5510127087448574,0.6833513107587862,0.0018258158233948052,4.515311477248064,1.0,0,18.310297378964265,-0.040151433075153675
force_adapter,train,all,128,0.00033238556407866326,0.22462304469081573,0.57170489593409,1.197980264783837,1.6988175585865974,0.673814300011145,0.17096006173233036,0.1836616755463183,0.16681058891117573,0.1624079206958413,0.8093374020367465,0.8887848535854923,0.0006738143010807107,0.3587142797773085,1.0,0,-55.0220755997764,0.16528210975155244
force_adapter,train,nominal_0p008,32,0.0004186380258488498,0.2638052748516202,0.6306341351009905,1.1362762828357518,1.8289014969486743,0.8588437282014638,0.18492482195142657,0.19814849086105824,0.17983224242925644,0.17679373361170292,0.7923865161788601,0.8771617328808892,0.0008588437194703147,0.42454605733350315,1.0,0,-43.350519659655895,0.1536589890469493
force_adapter,train,non_nominal,96,0.0003036347434886011,0.2115623013038809,0.5520618162117898,1.218548258766532,1.6554562457992386,0.6121378239477053,0.1663051416592983,0.17883273710807165,0.16247003773848215,0.15761264972388744,0.8149876973227087,0.8926592271536933,0.0006121378282841761,0.3367703539252436,1.0,0,-58.91259424648323,0.16915648331975341
force_adapter,val,all,32,0.00040564815117249964,0.3125355741940439,0.6954042492434382,1.6954241539351642,1.5268634430831298,0.7245952934026718,0.21746083768084645,0.1689029112458229,0.28216271474957466,0.20131688378751278,0.7660873217811848,0.8582795670818499,0.000724595294741448,0.5214948160643567,1.0,0,-45.108290346180006,0.13477682324791007
force_adapter,val,nominal_0p008,8,0.00045721823062194744,0.3394152713008225,0.634484626352787,0.9215909633785486,1.1106575168669224,0.9347318038344383,0.19530946109443903,0.15663447231054306,0.25026850402355194,0.17902540415525436,0.8317701142674203,0.8997242525721096,0.0009347318118670955,0.5896946832768616,1.0,0,-38.12990323956714,0.17622150873816977
force_adapter,val,non_nominal,24,0.00038845812468935037,0.303575675158451,0.7157107902069887,1.9533685507873695,1.6655987518218656,0.6545497899254163,0.2248446298763156,0.1729923908909162,0.2927941183249156,0.2087473769982656,0.7441930576191064,0.84446467191843,0.0006545497890328988,0.4987615269935217,1.0,0,-47.43441938171763,0.12096192808449013
force_adapter,test,all,32,0.00041186538430793007,0.46273252717219293,0.7837687833234668,1.897411518264562,1.7482218877412379,0.818060418474488,0.24722023610956967,0.30160050466656685,0.20559395849704742,0.23446624912321568,0.7445923179570549,0.8457609432418405,0.0008180604272638448,0.6337078370725692,1.0,0,-44.266983526134794,0.12225819940790061
