sample_id,split,subset,row_origin,true_shape_type,pred_shape_type,shape_correct,burial_depth_level,size_level,aspect_bin,hardcase_target_id,center_xyz_error_mm,burial_depth_error_mm,total_abs_normalized_error,failure_tags,rank_reason
internal_hard_topup_103,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_ellipsoid,True,deep_plus,large,compact,target_07_deep_plus_edge,7.041740894317627,1.4896504878997803,0.8126643300056458,center_outlier|burial_outlier|full_shift_failure|visual_suspect,catastrophic_failure
internal_hard_topup_109,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,deep_plus,large,compact,target_07_deep_plus_edge,8.827550888061523,1.8887200355529785,0.6447790265083313,center_outlier|burial_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,catastrophic_failure
internal_hard_topup_110,test,hardcase_topup,hardcase_topup_v1,internal_sphere,internal_ellipsoid,False,deep_plus,medium,compact,target_07_deep_plus_edge,5.442136764526367,1.1921141147613525,0.7414109110832214,center_outlier|burial_outlier|dimension_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,catastrophic_failure
internal_hard_topup_114,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_ellipsoid,True,deep_plus,large,elongated_y,target_08_x_pos_y_pos_region,4.204291343688965,2.8612265586853027,0.999055802822113,center_outlier|burial_outlier|dimension_outlier|full_shift_failure|visual_suspect,catastrophic_failure
internal_hard_topup_109,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,deep_plus,large,compact,target_07_deep_plus_edge,8.827550888061523,1.8887200355529785,0.6447790265083313,center_outlier|burial_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,geometry_branch_failure
internal_hard_topup_110,test,hardcase_topup,hardcase_topup_v1,internal_sphere,internal_ellipsoid,False,deep_plus,medium,compact,target_07_deep_plus_edge,5.442136764526367,1.1921141147613525,0.7414109110832214,center_outlier|burial_outlier|dimension_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,geometry_branch_failure
internal_pilot_032,test,source_v2,source_v2_240,internal_ellipsoid,internal_cuboid,False,shallow,large,elongated_x,,7.157613277435303,0.5761545300483704,0.9862023591995239,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,shape_misclassified
internal_pilot_065,test,source_v2,source_v2_240,internal_cuboid,internal_ellipsoid,False,shallow,medium,elongated_x,,1.0243077278137207,0.2650614380836487,0.44148167967796326,dimension_outlier|shape_misclassified|visual_suspect,shape_misclassified
internal_pilot_072,test,source_v2,source_v2_240,internal_cuboid,internal_ellipsoid,False,medium,small,elongated_y,,6.171326160430908,0.20167139172554016,0.6768047213554382,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,shape_misclassified
internal_pilot_076,test,source_v2,source_v2_240,internal_cuboid,internal_ellipsoid,False,medium,large,compact,,2.405209541320801,0.2841036915779114,0.24706663191318512,shape_misclassified|visual_suspect,shape_misclassified
internal_hard_topup_104,test,hardcase_topup,hardcase_topup_v1,internal_sphere,internal_cuboid,False,deep_plus,medium,compact,target_07_deep_plus_edge,6.995227336883545,0.7726610898971558,0.6975904703140259,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,shape_misclassified
internal_hard_topup_105,test,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_ellipsoid,False,deep_plus,large,compact,target_07_deep_plus_edge,7.7509942054748535,0.9898571372032166,0.6824070811271667,center_outlier|shape_misclassified|visual_suspect,shape_misclassified
internal_hard_topup_107,test,hardcase_topup,hardcase_topup_v1,internal_sphere,internal_cuboid,False,deep_plus,large,compact,target_07_deep_plus_edge,10.133456230163574,0.3913319706916809,0.9286102652549744,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,shape_misclassified
internal_hard_topup_109,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,deep_plus,large,compact,target_07_deep_plus_edge,8.827550888061523,1.8887200355529785,0.6447790265083313,center_outlier|burial_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,shape_misclassified
internal_hard_topup_110,test,hardcase_topup,hardcase_topup_v1,internal_sphere,internal_ellipsoid,False,deep_plus,medium,compact,target_07_deep_plus_edge,5.442136764526367,1.1921141147613525,0.7414109110832214,center_outlier|burial_outlier|dimension_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,shape_misclassified
internal_hard_topup_112,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,deep_plus,medium,elongated_y,target_07_deep_plus_edge,2.310098886489868,1.215842366218567,0.5312691330909729,burial_outlier|dimension_outlier|shape_misclassified|visual_suspect,shape_misclassified
internal_hard_topup_113,test,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_ellipsoid,False,shallow,large,compact,target_08_x_pos_y_pos_region,1.1285845041275024,0.3607564866542816,0.4481847584247589,shape_misclassified|visual_suspect,shape_misclassified
internal_hard_topup_115,test,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_ellipsoid,False,shallow,large,compact,target_08_x_pos_y_pos_region,2.4633264541625977,0.6413673162460327,0.4078318178653717,shape_misclassified|visual_suspect,shape_misclassified
internal_hard_topup_116,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,deep_plus,large,elongated_y,target_08_x_pos_y_pos_region,6.254583835601807,0.3486485183238983,0.8129674196243286,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,shape_misclassified
internal_hard_topup_119,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,shallow,medium,compact,target_09_x_neg_y_pos_region,3.073146343231201,0.6147091388702393,0.2930474877357483,center_outlier|shape_misclassified|visual_suspect,shape_misclassified
