model,selected_model,split,subset,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
H2_B2_hardcase_tail_weighted,True,train,all,aspect_bin,elongated_y,55,0.050436925143003464,0.0980948805809021,0.1349574476480484,0.009734955616295338,0.045612018555402756,0.26548391580581665,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,all,row_origin,hardcase_topup_v1,80,0.05534237623214722,0.09134553372859955,0.12035477161407471,0.010808046907186508,0.051363710314035416,0.3593961000442505,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,row_origin,source_v2_240,160,0.05739206448197365,0.10814546793699265,0.12128695100545883,0.013322744518518448,0.05105719715356827,0.3186004161834717,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,hardcase_target_id,,160,0.05739206448197365,0.10814546793699265,0.12128695100545883,0.013322744518518448,0.05105719715356827,0.3186004161834717,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,hardcase_target_id,target_01_geometry_branch_cuboid_ellipsoid,24,0.04351767897605896,0.1045689582824707,0.07448749244213104,0.006150425411760807,0.026726514101028442,0.3409331738948822,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,all,hardcase_target_id,target_02_full_shift_catastrophic,20,0.06419079750776291,0.09409254789352417,0.13188806176185608,0.012156257405877113,0.0698556900024414,0.39404892921447754,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,hardcase_target_id,target_03_worst_center_regions,18,0.052539028227329254,0.06634994596242905,0.18140847980976105,0.009860048070549965,0.03419463336467743,0.3398742377758026,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,all,hardcase_target_id,target_04_worst_burial_depth,16,0.06776879727840424,0.10372345894575119,0.11754988878965378,0.018385013565421104,0.08492110669612885,0.368478000164032,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,hardcase_target_id,target_05_compact_medium_large,2,0.0345732606947422,0.0311313197016716,0.028384849429130554,0.0011336524039506912,0.04815266653895378,0.33746427297592163,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,shape_type,internal_cuboid,53,0.05217376723885536,0.11628283560276031,0.09981796890497208,0.009115688502788544,0.0546809621155262,0.2891964316368103,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,shape_type,internal_ellipsoid,53,0.043906621634960175,0.0909811481833458,0.09538377076387405,0.007837234996259212,0.040743373334407806,0.21662110090255737,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,shape_type,internal_sphere,54,0.07574943453073502,0.11700525134801865,0.16778184473514557,0.02283581905066967,0.05762336775660515,0.44755077362060547,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,burial_depth_level,deep,40,0.05883229151368141,0.14720545709133148,0.11685556173324585,0.013377740047872066,0.06382609158754349,0.2953896224498749,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,burial_depth_level,deep_plus,40,0.051878899335861206,0.09676424413919449,0.10410887002944946,0.00858085136860609,0.04685225710272789,0.29623502492904663,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,burial_depth_level,medium,40,0.05645246058702469,0.08929156512022018,0.12958623468875885,0.014680173248052597,0.04885420203208923,0.32805776596069336,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,burial_depth_level,shallow,40,0.06240459159016609,0.09932062029838562,0.13459718227386475,0.016652213409543037,0.04469624534249306,0.354719340801239,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,size_level,large,53,0.05805917829275131,0.12780450284481049,0.10871405154466629,0.010698852129280567,0.05062737315893173,0.3390098810195923,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,size_level,medium,53,0.04766137897968292,0.07572606205940247,0.08672384172677994,0.011024891398847103,0.04848076030611992,0.2608215808868408,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,size_level,small,54,0.06628778576850891,0.12066952139139175,0.16755008697509766,0.018153348937630653,0.05400778353214264,0.3552778363227844,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,aspect_bin,compact,90,0.06711748242378235,0.114382803440094,0.140959233045578,0.0180708859115839,0.05588777735829353,0.38070860505104065,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,aspect_bin,elongated_x,37,0.045657530426979065,0.10666394233703613,0.09938375651836395,0.0061540850438177586,0.04989808052778244,0.2329224944114685,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,aspect_bin,elongated_y,33,0.04402508959174156,0.09279564768075943,0.09219341725111008,0.008410855196416378,0.03918251395225525,0.24527771770954132,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,row_origin,source_v2_240,160,0.05739206448197365,0.10814546793699265,0.12128695100545883,0.013322744518518448,0.05105719715356827,0.3186004161834717,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,source_v2,hardcase_target_id,,160,0.05739206448197365,0.10814546793699265,0.12128695100545883,0.013322744518518448,0.05105719715356827,0.3186004161834717,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,shape_type,internal_cuboid,38,0.05049413815140724,0.07947869598865509,0.10010156035423279,0.007708462420850992,0.05432581156492233,0.3778844177722931,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,shape_type,internal_ellipsoid,34,0.04941302910447121,0.10170339047908783,0.13328149914741516,0.007104415912181139,0.03838513046503067,0.27857041358947754,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,shape_type,internal_sphere,8,0.10357124358415604,0.10369208455085754,0.1616189032793045,0.041271500289440155,0.09245266020298004,0.615085780620575,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,burial_depth_level,deep,14,0.053133524954319,0.06595614552497864,0.1446048468351364,0.01089180912822485,0.059324782341718674,0.3159491717815399,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,burial_depth_level,deep_plus,26,0.04629348963499069,0.07368318736553192,0.11413662135601044,0.0073870085179805756,0.04763433709740639,0.28703615069389343,1.0,1.0,0,0
