sample_id,source_index,split,defect_type,source_pack,threshold,dense_threshold,geometry_threshold,pred_center_x,pred_center_y,pred_width,pred_length,pred_depth,pred_angle_deg,pred_angle_rad,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,dense_iou,dense_dice,dense_area_error,geometry_iou,geometry_dice,geometry_area_error,center_abs_error_m,width_abs_error_m,length_abs_error_m,depth_abs_error_m,angle_abs_error_deg,empty_prediction,fallback_used,component_area_px,depth_source,type_probability_source,notes
rect_p2_0016,15,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0031962411012500525,0.0002838340005837381,0.010349862732477816,0.008795468612744581,0.001500000013038516,-4.044102057576936,-0.07058289619139482,0.5789909817642125,0.42100901823578757,rectangular_notch,0.9409190371991247,0.9695603156708005,0.020089285714285716,0.7753479125248509,0.8734602463605823,0.006696428571428571,0.00034506854315111433,0.001349862664937973,0.0012045307084918022,0.0004000000189989805,nan,0.0,0.0,439.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0017,16,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0021868038456887007,0.0007575284107588232,0.012789430493842895,0.009831017162253906,0.001500000013038516,23.530302048246625,0.41068124473066925,0.050000000000000044,0.95,rotated_rect,0.7843137254901961,0.8791208791208791,0.15992647058823528,0.7124087591240876,0.8320545609548167,0.15625,0.0007283488169590804,0.0017894301563501358,0.00016898289322853088,0.0004000000189989805,nan,0.0,0.0,457.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0019,18,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.002322666347026825,0.0006376228993758559,0.013236757719715017,0.006687565069597712,0.001500000013038516,-0.09508391358184554,-0.0016595273576849594,0.8368496189230125,0.16315038107698757,rectangular_notch,0.8223443223443223,0.9025125628140703,0.10476190476190476,0.8076923076923077,0.8936170212765957,0.12,0.0006911736168804258,0.002763243392109871,0.00018756510689854622,0.0004000000189989805,nan,0.0,0.0,470.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0020,19,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0021576418075710535,-0.0004524627001956105,0.011456780008605498,0.00650313569403934,0.001500000013038516,1.0850297124551957,0.018937340964310493,0.7866736100915337,0.2133263899084663,rectangular_notch,0.8878718535469108,0.9406060606060606,0.11212814645308924,0.9084668192219679,0.9520383693045563,0.09153318077803203,0.00010387403404205104,0.0005432199686765671,0.0009968639351427555,0.0004000000189989805,nan,0.0,0.0,388.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0021,20,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.002847990719601512,-0.0002623081090860069,0.014501048179788598,0.007006307660662264,0.001500000013038516,0.1553696546767469,0.0027117120317958396,0.834087362971165,0.16591263702883494,rectangular_notch,0.7794392523364486,0.8760504201680672,0.016666666666666666,0.7959927140255009,0.8864097363083164,0.05416666666666667,0.0007531906964722831,0.0004989514127373695,0.0005063074640929699,0.00020000000949949026,nan,0.0,0.0,472.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0022,21,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.0022167956922203302,-3.4290140320081264e-05,0.011468034765662872,0.009669668886889915,0.001500000013038516,0.7852183472270156,0.013704645506179508,0.8029645995767188,0.19703540042328116,rectangular_notch,0.9930313588850174,0.9965034965034965,0.007017543859649123,1.0,1.0,0.0,4.7731890242600166e-05,0.000531964935362339,0.0001696692779660225,0.0004000000189989805,nan,0.0,0.0,574.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0023,22,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0006177888135425746,0.0011169820791110396,0.015768679917894157,0.007660106590399146,0.001500000013038516,0.1557155918149533,0.0027177497738624682,0.8340714047796824,0.16592859522031755,rectangular_notch,0.9984615384615385,0.9992301770592764,0.0015384615384615385,0.9615384615384616,0.9803921568627451,0.038461538461538464,0.00017653496896864482,0.00023132003843784332,0.0003398936241865158,0.0009999999310821295,nan,0.0,0.0,649.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0024,23,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.0018232574220746756,0.001199647318571806,0.012107617081516187,0.008122318756296373,0.001500000013038516,-1.2189611085055958,-0.0212748847971825,0.779085715148051,0.22091428485194903,rectangular_notch,0.9223484848484849,0.9596059113300492,0.021442495126705652,0.9318181818181818,0.9647058823529412,0.011695906432748537,0.00037993997597542665,0.00010761711746454239,0.00037768203765153885,0.0004999999655410647,nan,0.0,0.0,502.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0027,26,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0010346600320190191,-0.0003849577915389091,0.012746242585739611,0.006781815805376465,0.001500000013038516,-1.5271811053830788,-0.026654338563181224,0.7608974947052627,0.23910250529473737,rectangular_notch,0.8468085106382979,0.9170506912442397,0.02727272727272727,0.8066528066528067,0.8929804372842347,0.025,0.00047877325675526076,0.0012537576258182526,0.00028181588277220726,0.0004000000189989805,nan,0.0,0.0,428.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0028,27,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0010812878608703613,-0.00027459170087240636,0.012746133624038182,0.006498559082511504,0.001500000013038516,-1.7313043803735582,-0.030216961791718885,0.748299838322261,0.251700161677739,rectangular_notch,0.910411622276029,0.9531051964512041,0.0873015873015873,0.8591885441527446,0.9242618741976893,0.06084656084656084,0.0004302932077416037,0.00025386642664670944,0.0004985588602721691,0.0004999999655410647,nan,0.0,0.0,411.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0029,28,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0011313380673527718,0.0002520633861422539,0.013723163687121044,0.007759605400049328,0.001500000013038516,-5.230852201190373,-0.09129559359596487,0.48077180380933127,0.5192281961906687,rotated_rect,0.8931860036832413,0.943579766536965,0.05303030303030303,0.9290909090909091,0.9632422243166824,0.00946969696969697,0.0004465955450184178,0.0002768365666270256,0.00025960570201277733,0.000699999975040555,nan,0.0,0.0,500.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0031,30,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.002835860475897789,-4.228719262755476e-05,0.01259912143857609,0.007937671166838708,0.001500000013038516,-0.0066104449796284825,-0.0001153740299164465,0.8408362231200623,0.15916377687993769,rectangular_notch,0.8929219600725953,0.9434324065196549,0.013333333333333334,0.8807339449541285,0.9365853658536586,0.047619047619047616,0.0004862538682372641,0.00040087848901748657,6.23287633061409e-05,0.0004999999655410647,nan,0.0,0.0,518.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0032,31,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0015597724122926593,-0.0007179012754932046,0.01391564726394389,0.006758519605111757,0.001500000013038516,-1.2130262497437343,-0.021171301971147187,0.7794260123042198,0.22057398769578015,rectangular_notch,0.8731060606060606,0.9322548028311426,0.1268939393939394,0.9128787878787878,0.9544554455445544,0.08712121212121213,0.00022595064776275258,0.0010843528434634209,0.0002414807677268982,0.0004999999655410647,nan,0.0,0.0,461.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0033,32,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.002139060525223613,0.00018453082884661853,0.014229314876420408,0.008243195696607787,0.001500000013038516,-2.927585205500918,-0.05109600096866583,0.6661459638442706,0.33385403615572945,rectangular_notch,0.8178861788617886,0.8998211091234347,0.025362318840579712,0.8251192368839427,0.9041811846689896,0.07971014492753623,0.0008229808896161951,0.0002293149009346962,0.0007431958802044392,0.0004999999655410647,nan,0.0,0.0,566.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0034,33,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.001337859663181007,-0.0003664867836050689,0.015512213337462537,0.009341685991522575,0.001500000013038516,-3.461485715131971,-0.0604143227398034,0.6254715541523663,0.37452844584763373,rectangular_notch,0.8384615384615385,0.9121338912133892,0.16153846153846155,0.8628428927680798,0.9263721552878179,0.08461538461538462,0.0006028306239932797,0.0004877876490354538,0.00015831366181373596,0.00020000000949949026,nan,0.0,0.0,654.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0036,35,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.0028346446342766285,0.0010844661155715585,0.012714367633333437,0.006714829783872441,0.001500000013038516,-1.1244554782430782,-0.019625450387429178,0.7844598475052709,0.21554015249472916,rectangular_notch,0.9382422802850356,0.9681372549019608,0.045112781954887216,0.9047619047619048,0.95,0.10526315789473684,0.00018567962261208063,0.0002856329083442688,0.0007148296572268009,0.000699999975040555,nan,0.0,0.0,417.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0037,36,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.001616064109839499,-0.0003768395690713078,0.015248067531021007,0.008953146734155645,0.001500000013038516,-0.9944604781771886,-0.01735660962514916,0.7916961504038019,0.20830384959619805,rectangular_notch,0.9597122302158273,0.9794419970631424,0.017777777777777778,0.9642857142857143,0.9818181818181818,0.037037037037037035,0.00016923171145673686,0.0007519330829381943,0.00045314617455005646,0.0004000000189989805,nan,0.0,0.0,687.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0038,37,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.002488337457180023,-5.767661605204921e-06,0.013576846243737103,0.010792292563227175,0.001500000013038516,6.366792052758797,0.11112148411044953,0.3880307728373017,0.6119692271626983,rotated_rect,0.9106881405563689,0.9532567049808429,0.05803571428571429,0.8959459459459459,0.9451176051318603,0.08779761904761904,0.0005116950755388198,0.0005768463015556335,0.0007922928780317307,0.0009999999310821295,nan,0.0,0.0,633.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0039,38,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0030904586892575026,0.00046203151578083634,0.009852089729372529,0.008375450518111005,0.001500000013038516,-1.171255472683157,-0.020442264380323594,0.7818104561960152,0.2181895438039848,rectangular_notch,0.9770114942528736,0.9883720930232558,0.018433179723502304,0.7745901639344263,0.8729792147806005,0.004608294930875576,9.810391093990839e-05,0.0008520903065800667,0.0016245488077402115,0.000699999975040555,nan,0.0,0.0,426.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0042,41,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-3.8566606235690415e-05,0.0005172226228751242,0.01336291024961809,0.008611888153789712,0.001500000013038516,0.9466641770678734,0.01652240680051699,0.7943113574865571,0.2056886425134429,rectangular_notch,0.9832214765100671,0.9915397631133672,0.010101010101010102,1.0,1.0,0.0,4.2237436442182656e-05,0.0006370898336172104,0.00011188723146915436,0.0004000000189989805,nan,0.0,0.0,588.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0044,43,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0006423773593269289,0.0006172838038764894,0.012463647687808348,0.0100471371328907,0.001500000013038516,7.653157561451167,0.13357279762122312,0.2922697473638274,0.7077302526361726,rotated_rect,0.9181184668989547,0.9573115349682108,0.06842105263157895,0.8890649762282092,0.9412751677852349,0.0912280701754386,0.00015917951900210715,0.0004636477679014206,0.0005471371114253998,9.999994654208422e-05,nan,0.0,0.0,531.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0046,45,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.00017827970441430807,-0.0011136042885482311,0.01361874754211058,0.010383582160865119,0.001500000013038516,-3.395202326445883,-0.059257459367852004,0.630632816148051,0.36936718385194894,rectangular_notch,0.9034090909090909,0.9492537313432836,0.09659090909090909,0.9529737206085753,0.9759206798866855,0.005681818181818182,0.00021139909316450896,0.0003812527284026146,0.0003835819661617279,9.999994654208422e-05,nan,0.0,0.0,636.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0048,47,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.0009080978925339878,0.00031630159355700016,0.008925358174636456,0.006111083504410645,0.001500000013038516,-1.2236624957437812,-0.02135693948390008,0.7788158767764976,0.22118412322350245,rectangular_notch,0.9014084507042254,0.9481481481481482,0.03007518796992481,0.8866666666666667,0.9399293286219081,0.12781954887218044,0.00024236347665692272,7.464177906513214e-05,0.0001110835000872612,0.000699999975040555,nan,0.0,0.0,274.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0051,50,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0001740249281283468,-0.00062750926008448,0.014494268235034743,0.006680013095637143,0.001500000013038516,0.057821244611830025,0.0010091710960774645,0.838538384521549,0.1614616154784509,rectangular_notch,0.9734848484848485,0.9865642994241842,0.026515151515151516,0.9223484848484849,0.9596059113300492,0.07765151515151515,0.00021573891851264004,0.0005057314410805702,0.00031998706981539726,0.0004999999655410647,nan,0.0,0.0,514.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0052,51,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.002268653828650713,0.0009014758979901671,0.014709151630015219,0.010165935267525563,0.001500000013038516,1.353781625026926,0.023627946709719124,0.7712541025118695,0.2287458974881304,rectangular_notch,0.9878706199460916,0.9938983050847457,0.004076086956521739,1.0,1.0,0.0,0.00010027450809154549,0.0002908483147621155,0.00016593560576438904,0.0009999999310821295,nan,0.0,0.0,739.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0053,52,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.002294712234288454,0.0006682261009700596,0.012796350389832643,0.0075006495540087415,0.001500000013038516,1.845375732519102,0.03220788246886052,0.741070784737458,0.25892921526254203,rectangular_notch,0.6592082616179001,0.7946058091286307,0.10980392156862745,0.6368078175895765,0.7781094527363184,0.029411764705882353,0.001169081464668729,0.0017963508144021034,0.0019993502646684647,9.999994654208422e-05,nan,0.0,0.0,448.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0054,53,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.0015583880012854934,-0.00025696709053590894,0.01312366880703818,0.009639624912800258,0.001500000013038516,-3.409663998339852,-0.05950986315774488,0.6295092339394659,0.3704907660605341,rectangular_notch,0.9536741214057508,0.9762878168438267,0.008210180623973728,0.9560439560439561,0.9775280898876404,0.04597701149425287,0.0002499483222539303,0.00012366846203804016,0.0006396248936653137,0.0004999999655410647,nan,0.0,0.0,614.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0055,54,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.002545412862673402,0.0004252179933246225,0.009903885775552927,0.008988389933927868,0.001500000013038516,-14.78017185630253,-0.25796266290308134,0.050000000000000044,0.95,rotated_rect,0.7848970251716247,0.8794871794871795,0.16470588235294117,0.7905544147843943,0.8830275229357798,0.05176470588235294,0.0004606971252414218,0.0010961145162582397,0.000988389365375042,9.999994654208422e-05,nan,0.0,0.0,355.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0056,55,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0007738253916613758,-0.0003639845526777208,0.013013681558339384,0.007738895900716733,0.001500000013038516,-4.282678990693455,-0.07474684919358839,0.559493572498784,0.4405064275012161,rectangular_notch,0.9379014989293362,0.9679558011049724,0.05215419501133787,0.8509803921568627,0.9194915254237288,0.14058956916099774,0.00013808641261122545,1.368112862110138e-05,0.0012388955801725388,0.000699999975040555,nan,0.0,0.0,464.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0057,56,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0019414059352129698,-0.00024796227808110416,0.014486991368053027,0.008392834946682106,0.001500000013038516,-4.912436172831974,-0.08573818550998716,0.5072964675944175,0.4927035324055825,rectangular_notch,0.9331103678929766,0.9653979238754326,0.06688963210702341,0.9203821656050956,0.9585406301824212,0.016722408026755852,0.00039587312158522874,0.000513007864356041,0.0003928346559405327,0.0004999999655410647,nan,0.0,0.0,555.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0058,57,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.001601896365173161,-0.00011337874457240105,0.01261635902018773,0.009848623410735823,0.001500000013038516,-0.111760802626236,-0.0019505939804993439,0.8360892188093543,0.16391078119064573,rectangular_notch,0.96875,0.9841269841269841,0.03125,0.9226190476190477,0.9597523219814241,0.07738095238095238,0.00015243886085628339,0.0003836415708065033,0.00015137623995542526,9.999994654208422e-05,nan,0.0,0.0,651.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0060,59,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.001340742688626051,-0.0005632741376757622,0.012002531098347865,0.006402710164545501,0.001500000013038516,-0.3250588506589338,-0.005673347206746934,0.8261112490922566,0.17388875090774336,rectangular_notch,0.9002493765586035,0.94750656167979,0.11080332409972299,0.95,0.9743589743589743,0.05263157894736842,0.0001713665920541946,2.5313347578048706e-06,0.0004027099348604679,0.0009999999310821295,nan,0.0,0.0,401.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0061,60,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.002047950169071555,-0.0004448714025784284,0.01393679461125976,0.006428038229955701,0.001500000013038516,-0.905340486276657,-0.0158011723371342,0.7965527350413484,0.20344726495865162,rectangular_notch,0.9224137931034483,0.9596412556053812,0.041189931350114416,0.8818565400843882,0.9372197309417041,0.041189931350114416,0.0002094355746053148,6.320606917142868e-05,0.00042803818359971046,9.999994654208422e-05,nan,0.0,0.0,446.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0062,61,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.00275185564532876,0.0008305363589897752,0.012092856918680232,0.009281324605015727,0.001500000013038516,-1.8095816625643124,-0.031583158095460265,0.7433536383809085,0.2566463616190915,rectangular_notch,0.8256,0.9044697633654689,0.14772727272727273,0.8377952755905512,0.9117395029991431,0.10551948051948051,0.0003004888940037053,0.0019071437418460846,0.0002813246101140976,0.000699999975040555,nan,0.0,0.0,525.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0064,63,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0020099147222936153,6.878308340674266e-05,0.013913753669922695,0.0077182902797867,0.001500000013038516,-0.5327585282290102,-0.009298390435675381,0.8159402191381604,0.1840597808618396,rectangular_notch,0.9297597042513863,0.9636015325670498,0.07142857142857142,0.9545454545454546,0.9767441860465116,0.047619047619047616,0.0002497438820595164,0.0009137531742453575,0.00021829036995768547,0.0009999999310821295,nan,0.0,0.0,540.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0065,64,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.002081293612718582,9.652578228269704e-06,0.008588147783346269,0.007290337393943908,0.001500000013038516,-4.229890625993278,-0.07382551842282674,0.5638256748151258,0.43617432518487426,rectangular_notch,0.8704819277108434,0.9307568438003221,0.08923076923076922,0.8542274052478134,0.9213836477987422,0.043076923076923075,0.0005185580310253553,0.0005881469696760178,0.0007096631452441216,0.00020000000949949026,nan,0.0,0.0,296.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0066,65,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.002891795476898551,0.000568356248550117,0.013684586099008293,0.00823643915632321,0.001500000013038516,-4.487725326325233,-0.07832558286951227,0.542586127881836,0.45741387211816403,rectangular_notch,0.8809980806142035,0.936734693877551,0.024793388429752067,0.8306878306878307,0.9075144508670521,0.1446280991735537,0.00012798749131073977,0.00031541474163532257,0.0012364387512207031,0.0004000000189989805,nan,0.0,0.0,496.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0067,66,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.0024833984207361937,0.000452051725005731,0.013079891175743041,0.007186657891841744,0.001500000013038516,-4.472086276363825,-0.07805262995580181,0.543879637740124,0.4561203622598759,rectangular_notch,0.8985507246376812,0.9465648854961832,0.10144927536231885,0.9422680412371134,0.970276008492569,0.049689440993788817,0.0002382727583407375,7.989071309566498e-05,0.0003133420832455158,0.0009999999310821295,nan,0.0,0.0,434.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0069,68,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.002472821855917573,0.0008793319575488567,0.00870590787153967,0.007555823583415465,0.001500000013038516,-17.207445218874057,-0.3003265749259086,0.050000000000000044,0.95,rotated_rect,0.6829896907216495,0.8116385911179173,0.20604395604395603,0.7111111111111111,0.8311688311688312,0.09615384615384616,0.0009802770658923154,0.0007059071213006973,0.0014441758394241333,0.0004000000189989805,nan,0.0,0.0,289.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0070,69,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0012768679298460484,0.0008494204957969487,0.011527892873880851,0.010413233343039102,0.001500000013038516,-32.37861327048117,-0.5651134087998256,0.050000000000000044,0.95,rotated_rect,0.8776041666666666,0.9348127600554785,0.05413105413105413,0.5773710482529119,0.7320675105485233,0.7008547008547008,0.0005479635115781059,0.003527892753481865,0.0019132327288389206,0.0004000000189989805,nan,0.0,0.0,370.0,train_median_depth,angle_magnitude_sigmoid,
