seed,source_index,sample_id,split,defect_type,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
123,510,poly_v8_0031,train,polygon,pilot_v8_topup_polygon,0.0,6,0.9,0.8613861386138614,0.925531914893617,0.1005586592178771,0.8926186224847292,197,179,0,0.01670585572719574,0.12088418006896973,0.13759003579616547,0.0,0.9999994039535522,0.027028920128941536,COMSOL_DATA_BASELINE_pilot_v9_only
123,513,poly_v8_0034,train,polygon,pilot_v8_topup_polygon,0.0,6,0.9,0.6878048780487804,0.815028901734104,0.3080684596577017,0.7374059232258333,283,409,0,0.030702263116836548,0.12898778915405273,0.15969005227088928,0.0,0.9999902248382568,0.04091878980398178,COMSOL_DATA_BASELINE_pilot_v9_only
123,527,poly_v9_0008,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.7359307359307359,0.8478802992518704,0.0995260663507109,2.2800476348828367,380,422,0,0.04296211898326874,0.17129391431808472,0.21425603330135345,0.0,0.9997755885124207,0.059329405426979065,COMSOL_DATA_BASELINE_pilot_v9_only
123,528,poly_v9_0009,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.7945945945945946,0.8855421686746988,0.1295774647887324,0.6223749150845143,309,355,0,0.016054373234510422,0.10296571254730225,0.11902008950710297,0.0,0.9999755620956421,0.04584968090057373,COMSOL_DATA_BASELINE_pilot_v9_only
123,530,poly_v9_0011,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.7076271186440678,0.8287841191066998,0.05612244897959184,2.6326783376849505,207,196,0,0.030565742403268814,0.17316687107086182,0.20373260974884033,0.0,0.9999991655349731,0.028062336146831512,COMSOL_DATA_BASELINE_pilot_v9_only
123,531,poly_v9_0012,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.5903361344537815,0.7424042272126816,0.3961864406779661,1.5376662984285026,285,472,0,0.07959979772567749,0.20531386137008667,0.28491365909576416,0.0,0.9999828338623047,0.04022480919957161,COMSOL_DATA_BASELINE_pilot_v9_only
123,532,poly_v9_0013,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.5786713286713286,0.7331118493909191,0.2667946257197697,4.190087484448969,382,521,0,0.09463661164045334,0.256838321685791,0.35147494077682495,0.0,0.9998936653137207,0.059616874903440475,COMSOL_DATA_BASELINE_pilot_v9_only
123,533,poly_v9_0014,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.6306532663316583,0.773497688751926,0.32299741602067183,4.075837296405059,262,387,0,0.0627145767211914,0.2059754729270935,0.2686900496482849,0.0,0.9999954700469971,0.03727736324071884,COMSOL_DATA_BASELINE_pilot_v9_only
123,534,poly_v9_0015,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.7163120567375887,0.8347107438016529,0.10443864229765012,2.6918221255611634,343,383,0,0.04734107106924057,0.18162989616394043,0.2289709746837616,0.0,0.9999090433120728,0.05188746005296707,COMSOL_DATA_BASELINE_pilot_v9_only
123,535,poly_v9_0016,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.6837944664031621,0.812206572769953,0.08823529411764706,2.952598763984485,222,204,0,0.03610333055257797,0.20698559284210205,0.24308893084526062,0.0,0.9999783039093018,0.03134036064147949,COMSOL_DATA_BASELINE_pilot_v9_only
123,536,poly_v9_0017,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.6818181818181818,0.8108108108108109,0.26291079812206575,3.5467707103513435,314,426,0,0.046939946711063385,0.17862391471862793,0.22556385397911072,0.0,0.99997878074646,0.04691636189818382,COMSOL_DATA_BASELINE_pilot_v9_only
123,537,poly_v9_0018,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.6243093922651933,0.7687074829931972,0.19631901840490798,1.5357998906138106,393,489,0,0.06614264845848083,0.2053021788597107,0.27144482731819153,0.0,0.9999186992645264,0.059319499880075455,COMSOL_DATA_BASELINE_pilot_v9_only
123,538,poly_v9_0019,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.5884861407249466,0.7409395973154362,0.40471092077087795,2.739530980455435,278,467,0,0.08247449994087219,0.2027326226234436,0.2852071225643158,0.0,0.9999971389770508,0.03968638926744461,COMSOL_DATA_BASELINE_pilot_v9_only
123,539,poly_v9_0020,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.6555772994129159,0.7919621749408984,0.0945945945945946,4.030520811429224,402,444,0,0.06349979341030121,0.19607216119766235,0.25957196950912476,0.0,0.9999603033065796,0.05945836752653122,COMSOL_DATA_BASELINE_pilot_v9_only
123,540,poly_v9_0021,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.6973684210526315,0.8217054263565892,0.28994082840236685,1.1278210045956727,218,169,0,0.034395936876535416,0.21672898530960083,0.25112491846084595,0.0,0.9999985694885254,0.030390745028853416,COMSOL_DATA_BASELINE_pilot_v9_only
123,541,poly_v9_0022,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.6571428571428571,0.7931034482758621,0.3244444444444444,2.9174187112130534,304,450,0,0.04103410243988037,0.18108993768692017,0.22212404012680054,0.0,0.9997308850288391,0.04919500648975372,COMSOL_DATA_BASELINE_pilot_v9_only
123,542,poly_v9_0023,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.647450110864745,0.7860026917900403,0.2800925925925926,3.143945597499853,311,432,0,0.060893189162015915,0.19088596105575562,0.25177913904190063,0.0,0.9998956918716431,0.04823291301727295,COMSOL_DATA_BASELINE_pilot_v9_only
123,543,poly_v9_0024,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.5423340961098398,0.7032640949554896,0.4470046082949309,1.7963103347157185,240,434,0,0.07186123728752136,0.23406410217285156,0.3059253394603729,0.0,0.9999669790267944,0.03433024138212204,COMSOL_DATA_BASELINE_pilot_v9_only
123,544,poly_v9_0025,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.6539792387543253,0.7907949790794979,0.15444015444015444,3.044868498505172,438,518,0,0.07128766179084778,0.20420163869857788,0.27548930048942566,0.0,0.9999439716339111,0.0653553307056427,COMSOL_DATA_BASELINE_pilot_v9_only
123,545,poly_v9_0026,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.6943231441048034,0.8195876288659794,0.020833333333333332,2.6921453957586583,196,192,0,0.039220694452524185,0.17791813611984253,0.21713882684707642,0.0,0.9999997615814209,0.026732157915830612,COMSOL_DATA_BASELINE_pilot_v9_only
123,546,poly_v9_0027,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.8851174934725848,0.9390581717451524,0.08994708994708994,0.6045454886047952,344,378,0,0.013079911470413208,0.07963234186172485,0.09271225333213806,0.0,0.9999911785125732,0.049036264419555664,COMSOL_DATA_BASELINE_pilot_v9_only
123,547,poly_v9_0028,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.6266173752310537,0.7704545454545455,0.09935205183585313,3.738655322763042,417,463,0,0.06203605979681015,0.20450669527053833,0.2665427625179291,0.0,0.999933123588562,0.06343982368707657,COMSOL_DATA_BASELINE_pilot_v9_only
123,548,poly_v9_0029,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.7037037037037037,0.8260869565217391,0.26881720430107525,3.290292918493683,272,372,0,0.03779353201389313,0.16361689567565918,0.2014104276895523,0.0,0.9999909400939941,0.04066547751426697,COMSOL_DATA_BASELINE_pilot_v9_only
123,549,poly_v9_0030,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.6136363636363636,0.7605633802816901,0.3796680497925311,0.4554570312877415,299,482,0,0.03825394809246063,0.16356992721557617,0.2018238753080368,0.0,0.9999028444290161,0.0489128977060318,COMSOL_DATA_BASELINE_pilot_v9_only
