seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
all,component_type_combination=rectangular_notch+rotated_rect+rotated_rect,test,60,0.6465766976030046,0.7664757461303291,0.11417052245601522,2.6135629013302455,421.55,428.4,0,0.3604735436538855,3.066666666666667,0.9666666666666667,0.0,0.0,0.9666666666666667,0.05,0.0,0.03333333333333333,0.03333333333333333,0.9833333333333333
all,component_type_combination=rotated_rect,test,99,0.6344373881068901,0.7735711667543828,0.23281390825482642,2.7750846028588185,347.7979797979798,306.1515151515151,0,0.31054606431662435,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rotated_rect+polygon,test,24,0.5617655853081268,0.7063178405494316,0.18921432283048759,5.11408484483693,624.5,669.875,0,0.5091419344147047,2.125,0.875,0.0,0.875,0.125,0.041666666666666664,0.0,0.125,0.125,0.9791666666666666
all,component_type_combination=rotated_rect+rotated_rect,test,24,0.6061164257211806,0.7525524891037089,0.1632057237681933,3.9899498596319116,686.0,741.5,0,0.4150883195300897,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rotated_rect+rotated_rect+rotated_rect,test,60,0.6689347977032127,0.791544819241015,0.0724772051860654,2.5095054490976683,420.48333333333335,432.2,0,0.3210496912399928,3.033333333333333,0.9833333333333333,0.0,0.0,0.9833333333333333,0.03333333333333333,0.0,0.016666666666666666,0.016666666666666666,0.9888888888888888
all,component_type_combination=polygon,all,600,0.7408449082051184,0.846544091556252,0.14304346101185597,1.9965074010106416,374.7783333333333,392.145,0,0.2157562827070554,1.0216666666666667,0.9816666666666667,0.9816666666666667,0.015,0.0033333333333333335,0.0,0.0,0.018333333333333333,0.018333333333333333,1.0
all,component_type_combination=rectangular_notch,all,600,0.7472109335148376,0.850931587181369,0.16438604474516777,1.7830248961427746,443.6666666666667,475.24,0,0.20976669358710448,1.0283333333333333,0.9766666666666667,0.9766666666666667,0.018333333333333333,0.005,0.0,0.0,0.023333333333333334,0.023333333333333334,1.0
all,component_type_combination=rectangular_notch+polygon,all,144,0.6835002371211547,0.8002793177378699,0.12124384350756914,3.207252067436865,660.1319444444445,675.2083333333334,0,0.3291563530349069,2.0694444444444446,0.9513888888888888,0.0,0.9513888888888888,0.027777777777777776,0.020833333333333332,0.0,0.04861111111111111,0.04861111111111111,0.9791666666666666
all,component_type_combination=rectangular_notch+rectangular_notch,all,144,0.6768483056155493,0.80303059846386,0.10921677621403776,3.7479845025093517,700.3472222222222,737.25,0,0.3164651580154896,2.0347222222222223,0.9722222222222222,0.0,0.9722222222222222,0.020833333333333332,0.0,0.0,0.027777777777777776,0.027777777777777776,1.0
all,component_type_combination=rectangular_notch+rectangular_notch+rectangular_notch,all,360,0.7655492116045023,0.8579460082524649,0.07838981190276618,1.9227695540662113,425.69166666666666,427.60833333333335,0,0.20949431531545187,2.9972222222222222,0.9805555555555555,0.0,0.011111111111111112,0.9805555555555555,0.025,0.0,0.008333333333333333,0.008333333333333333,0.9870370370370369
