candidate,seed,split,group_type,group,K,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
starconvex_radial_screening,42,val,signal_bin,non_low_signal,32,0.5,133,0.3969200724376888,0.5506493032228698,0.5861579743041342,1.0213821875141527,0,11,121,0.36141140135642436
starconvex_radial_screening,42,val,defect_type,multi_defect,32,0.5,71,0.34365026072863997,0.49409374059190997,0.7767803266008941,0.929982729728373,0,6,65,0.0609636747196558
starconvex_radial_screening,42,val,defect_type,polygon,32,0.5,72,0.30167950547302297,0.43681834339563885,0.8279966497960647,1.1893762869553433,0,3,69,-0.08949880092740292
starconvex_radial_screening,42,val,defect_type,rotated_rect,32,0.5,57,0.4414890370050759,0.5981053563504778,0.4249631574671601,1.0707153066208488,0,4,52,0.6146312358883934
starconvex_radial_screening_mean,mean,val,area_bin,large,32,0.5,67,0.3867451235434716,0.5426080157861087,0.5683761529135752,0.9702986309221432,0.0,10.0,57.0,0.3609769864160052
starconvex_radial_screening_std,sample_std,val,area_bin,large,32,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,area_bin,medium,32,0.5,66,0.3980284989877395,0.5494058313783668,0.5215746241588012,1.0447784944465666,0.0,3.0,62.0,0.4258597062073052
starconvex_radial_screening_std,sample_std,val,area_bin,medium,32,0.5,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,area_bin,small,32,0.5,67,0.28512184782801503,0.41803074163951254,0.9923124553719078,1.1750634334870238,0.0,0.0,67.0,-0.28915986590438025
starconvex_radial_screening_std,sample_std,val,area_bin,small,32,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,defect_type,multi_defect,32,0.5,71,0.34365026072863997,0.49409374059190997,0.7767803266008941,0.929982729728373,0.0,6.0,65.0,0.0609636747196558
starconvex_radial_screening_std,sample_std,val,defect_type,multi_defect,32,0.5,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,defect_type,polygon,32,0.5,72,0.30167950547302297,0.43681834339563885,0.8279966497960647,1.1893762869553433,0.0,3.0,69.0,-0.08949880092740292
starconvex_radial_screening_std,sample_std,val,defect_type,polygon,32,0.5,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
