candidate_order,model,family,alpha,gamma,C,epsilon,sklearn_available,selected_by_validation,validation_selection_metric,test_final_only,evaluation_role,split,sample_count,normalized_param_mae_mean_mean,dimension_param_mae_norm_mean,curvature_param_mae_norm_mean,L_mae_mm_mean,W_mae_mm_mean,D_mae_mm_mean,wLD_abs_error_mean,wWD_abs_error_mean,wLW_abs_error_mean,curvature_mae_mean_mean,projected_mask_iou_mean,projected_mask_dice_mean,projected_mask_area_error_mean,projected_mask_center_error_px_mean,profile_depth_rmse_m_mean,volume_proxy_rel_error_mean,clip_applied_mean,feature_count,notes
14,lssvm_rbf_alpha_0p01_gamma_0p00687285,LS-SVM-like-RBF,0.01,0.00687285223,,,,False,0.7565373182296753,False,validation_screen_only,val,39,0.7565373980846161,0.6147117232665037,0.8983630564732429,3.217611035475364,2.698007460970145,1.105210345142927,0.21062589761538383,0.2006721481298789,0.18023127775925857,0.19717643849360636,0.6804773985963577,0.7937431404435208,0.5145400022214313,0.0,0.0005313598775477984,1.1489820412043896,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
15,lssvm_rbf_alpha_0p01_gamma_0p0171821,LS-SVM-like-RBF,0.01,0.0171821306,,,,False,0.8776354789733887,False,validation_screen_only,train,162,0.00842229024949771,0.007906729951903316,0.008937850539905973,0.048549362906703246,0.034574456627906106,0.012496979964644085,0.002015956390051194,0.0020032742141205587,0.0018567126474262755,0.00195864775220944,0.9930346545809818,0.99648636084616,0.007079363503309513,0.0,5.9064010643250645e-06,0.0103584175401016,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
15,lssvm_rbf_alpha_0p01_gamma_0p0171821,LS-SVM-like-RBF,0.01,0.0171821306,,,,False,0.8776354789733887,False,validation_screen_only,val,39,0.8776354629259843,0.8344830047243681,0.9207879259036138,4.994041646520297,3.524476675077891,1.3932128781691575,0.20747416753035325,0.20476652872868073,0.19292751183876625,0.20172273615996042,0.5923820047764098,0.7177545617436225,0.7942221128349704,0.0,0.0006440191377455798,1.9832340633957626,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
16,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,0.1,0.00171821306,,,,True,0.7111356258392334,False,validation_selected_final,train,162,0.1624372736838313,0.12442356951097831,0.20045097811538495,0.5524753894150993,0.5755219743759544,0.23802208001322953,0.046485451268561094,0.047107460690133364,0.038551017458056225,0.04404797647500491,0.9184239328202259,0.9563978480363512,0.08783083275503972,0.0,0.00011137715252101053,0.16600619643582998,0.012345679012345678,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
16,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,0.1,0.00171821306,,,,True,0.7111356258392334,False,validation_selected_final,val,39,0.7088557814176266,0.5109863554437956,0.9067251993677555,2.2653855627928023,2.314987982694919,0.9948902401404504,0.21649896181546724,0.20520061865831032,0.17607072836313492,0.19925676978742465,0.7378954519108291,0.8373591703050485,0.3703560491597279,0.0,0.0004952034374955707,0.8301509184432666,0.05128205128205128,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
16,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,0.1,0.00171821306,,,,True,0.7111356258392334,True,validation_selected_final,test,39,0.6540464762693796,0.4620995437487578,0.8459933963723671,1.9136665956332133,1.9917513088156016,0.9674908621953084,0.1975561517935533,0.1913395753273597,0.16827570016567522,0.18572381000297192,0.769352875827035,0.8629883531612551,0.29440359847159775,0.0,0.00044518171694690886,0.6528687795149094,0.05128205128205128,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
17,lssvm_rbf_alpha_0p1_gamma_0p00343643,LS-SVM-like-RBF,0.1,0.00343642612,,,,False,0.7155738472938538,False,validation_screen_only,train,162,0.09475028228566602,0.0732559764780748,0.11624458821973314,0.3311823474036323,0.3347557523736247,0.14007496012857668,0.02669520142637653,0.027617524803420643,0.022315287663612838,0.025542671302115016,0.9487396842862665,0.9732388544117029,0.05332008165492401,0.0,6.548162638336865e-05,0.09642380511437658,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
17,lssvm_rbf_alpha_0p1_gamma_0p00343643,LS-SVM-like-RBF,0.1,0.00343642612,,,,False,0.7155738472938538,False,validation_screen_only,val,39,0.7152443627516428,0.534824142853419,0.8956645843692315,2.573758248717357,2.3440384920208883,1.018246243827236,0.2144630322089562,0.20088578187502348,0.1750337466215476,0.19679418807992569,0.7260076515443645,0.8274955767682111,0.41171581795558065,0.0,0.0005037285842170091,0.9174691577768903,0.05128205128205128,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
18,lssvm_rbf_alpha_0p1_gamma_0p00687285,LS-SVM-like-RBF,0.1,0.00687285223,,,,False,0.7603802680969238,False,validation_screen_only,train,162,0.07026148433394638,0.056905413006236895,0.08361755566740478,0.2778281142682205,0.25521533715504185,0.10538899299493175,0.018958165321821048,0.0196068228026967,0.016500743083011957,0.018355243712847615,0.9583688877086938,0.9784919979154945,0.04301078434673558,0.0,4.9252642889364826e-05,0.07388619477653785,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
18,lssvm_rbf_alpha_0p1_gamma_0p00687285,LS-SVM-like-RBF,0.1,0.00687285223,,,,False,0.7603802680969238,False,validation_screen_only,val,39,0.7603802310350614,0.620896156399678,0.8998642854201488,3.265232041478157,2.7171662524342537,1.115289866255644,0.2102504342030256,0.2009376042928451,0.18123316917663965,0.19747373700523987,0.6776766571513078,0.7916189130587046,0.5204600731694027,0.0,0.0005348725970133017,1.1671222692069645,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
19,lssvm_rbf_alpha_0p1_gamma_0p0171821,LS-SVM-like-RBF,0.1,0.0171821306,,,,False,0.8793366551399231,False,validation_screen_only,train,162,0.07753253599375855,0.07293053662668868,0.0821345351682401,0.4485474451456541,0.3188173233726878,0.11512086589901167,0.018526451823152143,0.018403013547261555,0.017067129597251797,0.017998864943230594,0.9443184585282393,0.9710228493078844,0.058931609780782546,0.0,5.4404389927331515e-05,0.09874057242618225,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
19,lssvm_rbf_alpha_0p1_gamma_0p0171821,LS-SVM-like-RBF,0.1,0.0171821306,,,,False,0.8793366551399231,False,validation_screen_only,val,39,0.8793366184601417,0.8376173071372204,0.9210559527079264,5.019759907936439,3.5372321831110196,1.3968968372314403,0.207423543318724,0.20490489097741935,0.1930096073028369,0.2017793471996601,0.5910861871905656,0.716638142518535,0.7998491240058635,0.0,0.0006456034508375571,1.9979182067865178,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
20,lssvm_rbf_alpha_1_gamma_0p00171821,LS-SVM-like-RBF,1,0.00171821306,,,,False,0.7202948927879333,False,validation_screen_only,train,162,0.4593905233030702,0.350958966454606,0.5678220911894316,1.5593049583243734,1.641099378949514,0.665125088720226,0.129624401713595,0.13495486790751232,0.10963601389049012,0.12473842786211106,0.7999129249941177,0.8834968162583117,0.24881822876604892,0.0,0.0003112935206490313,0.49564229246709635,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
20,lssvm_rbf_alpha_1_gamma_0p00171821,LS-SVM-like-RBF,1,0.00171821306,,,,False,0.7202948927879333,False,validation_screen_only,val,39,0.7202949470434433,0.5196381441484659,0.9209517641709402,2.4225192115857053,2.19883651057115,1.035282002045558,0.2165470826320159,0.20797396776003715,0.18217186285899237,0.2022309711155219,0.7275572052608026,0.8308863336001321,0.4058602844316908,0.0,0.000498493792036196,0.8675099471985971,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
21,lssvm_rbf_alpha_1_gamma_0p00343643,LS-SVM-like-RBF,1,0.00343642612,,,,False,0.7372693419456482,False,validation_screen_only,train,162,0.3970610738536458,0.30846383459406135,0.48565830984785235,1.4147552553518319,1.4106789810100087,0.5844729023031247,0.11052345861623317,0.11493304776556698,0.09452072190649716,0.10665907591213415,0.8182692119706342,0.8957674213706787,0.22085263278129158,0.0,0.0002733473294130009,0.43628941372130003,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
21,lssvm_rbf_alpha_1_gamma_0p00343643,LS-SVM-like-RBF,1,0.00343642612,,,,False,0.7372693419456482,False,validation_screen_only,val,39,0.7372693702196463,0.5650406662279215,0.9094980737337699,2.781637660203836,2.420219713105605,1.0795139187517075,0.21216290119366768,0.20475192559071076,0.18196361798506516,0.1996261490843235,0.704760523049324,0.8135906878444913,0.4540767459306353,0.0,0.0005183964408038614,0.9985692375640142,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
22,lssvm_rbf_alpha_1_gamma_0p00687285,LS-SVM-like-RBF,1,0.00687285223,,,,False,0.7877728343009949,False,validation_screen_only,train,162,0.37772301584482193,0.31207378677747866,0.4433722490513766,1.5990721463789175,1.4037501062324018,0.5579958250631153,0.10037745921700089,0.10217829067030071,0.08923753433757359,0.09726442816310826,0.8075535798964816,0.8895511967177705,0.2386993358537925,0.0,0.0002631461753413465,0.4494008784383971,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
22,lssvm_rbf_alpha_1_gamma_0p00687285,LS-SVM-like-RBF,1,0.00687285223,,,,False,0.7877728343009949,False,validation_screen_only,val,39,0.7877727861587818,0.6666299771899596,0.90891560453635,3.600842155325107,2.890607584363375,1.183108972815367,0.20861176802561834,0.20277413802269179,0.18651232505455995,0.19929941055866388,0.6525362994486855,0.7727031648735808,0.5809765043129431,0.0,0.0005612384340612409,1.307875599613193,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
23,lssvm_rbf_alpha_1_gamma_0p0171821,LS-SVM-like-RBF,1,0.0171821306,,,,False,0.8889065384864807,False,validation_screen_only,train,162,0.4326690035285773,0.41149911321239707,0.4538388966042318,2.5536005412354883,1.7959489803531288,0.6449500906315667,0.10239728365415408,0.10151006741288268,0.09444065152862925,0.09944933432119864,0.7472652044644424,0.848616520389551,0.34755055809219587,0.0,0.00030427222269663394,0.654906548365049,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
