model,sample_index,source_index,area_bin,defect_type,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,pred_area_lt_true,pred_area_gt_true,pred_center_x,pred_center_y,true_center_x,true_center_y,source_true_area_pixels
CURRENT_BASELINE,21,78,small,polygon,12846.1689453125,29.13112449645996,0.27488151658767773,0.4312267657992565,0.7251184834123223,0.25054991245269775,1.7664101769019567,6.426078402177808,False,True,False,7.450615882873535,5.123650074005127,7.235466003417969,5.252047061920166,422
CURRENT_BASELINE,22,170,small,rotated_rect,14565.8720703125,29.230365753173828,0.0,0.0,1.0,nan,0.0,6.791542576709247,True,True,False,nan,nan,0.1629222333431244,3.442270040512085,446
CURRENT_BASELINE,23,681,small,polygon,11180.271484375,25.453866958618164,0.0,0.0,1.0,nan,0.0,3.106445483517234,True,True,False,nan,nan,-2.853975772857666,7.045454502105713,204
CURRENT_BASELINE,24,450,small,polygon,10634.4580078125,25.830322265625,0.0,0.0,1.0,nan,0.0,2.2993787647603057,True,True,False,nan,nan,-2.476454973220825,6.8907623291015625,151
CURRENT_BASELINE,25,527,small,multi_defect,19208.60546875,44.004127502441406,0.35341830822711473,0.5222602739726028,0.336,0.2156914472579956,10.17208619112506,7.613836969404986,False,False,True,-1.8270994424819946,4.85226583480835,-2.007437229156494,4.7339396476745605,500
CURRENT_BASELINE,26,495,small,multi_defect,12925.3896484375,35.710166931152344,0.5763473053892215,0.7312440645773979,0.24520255863539445,0.32318800687789917,8.892961580265023,7.1417790773018766,False,False,True,4.11552619934082,5.1335272789001465,4.246659755706787,5.428915977478027,469
CURRENT_BASELINE,27,398,small,polygon,19026.5703125,36.527889251708984,0.0799347471451876,0.14803625377643503,0.676,1.380140781402588,2.4668831780872154,7.613836969404986,False,True,False,-1.7401823997497559,4.569148063659668,-1.408341646194458,3.229495048522949,500
CURRENT_BASELINE,28,799,small,polygon,9394.2685546875,22.61071014404297,0.0,0.0,1.0,nan,0.0,2.4668831780872154,True,True,False,nan,nan,6.51405143737793,6.104876518249512,162
CURRENT_BASELINE,29,183,small,polygon,14396.333984375,35.82331466674805,0.34080717488789236,0.5083612040133779,0.015730337078651686,1.234724760055542,6.882908620342107,6.776314902770437,False,False,True,-3.7171475887298584,4.923572063446045,-3.6961777210235596,3.689025402069092,445
CURRENT_BASELINE,30,608,small,polygon,14335.328125,33.61538314819336,0.1646234676007005,0.28270676691729324,0.47477064220183485,0.92024827003479,3.4871373319874834,6.6392658373211475,False,True,False,-4.006166458129883,4.767764568328857,-3.907841920852661,5.682744979858398,436
