observation_config,base_group_id,nearest_base_group_id,shape_type,nearest_shape_type,burial_depth_level,nearest_burial_depth_level,size_level,nearest_size_level,aspect_bin,nearest_aspect_bin,nearest_feature_distance,center_label_distance_mm,burial_label_distance_mm,shape_match,burial_bin_match,ambiguous_neighbor,cuboid_ellipsoid_cross,elongated_x_y_cross
single_x_9line,richer_obs_base_002,richer_obs_base_019,internal_ellipsoid,internal_cuboid,deep_plus,deep_plus,large,medium,elongated_y,elongated_y,0.3968667984008789,9.341306686401367,0.0,False,True,True,True,False
single_x_9line,richer_obs_base_003,richer_obs_base_019,internal_cuboid,internal_cuboid,deep_plus,deep_plus,medium,medium,compact,elongated_y,0.5484341979026794,2.2360680103302,0.0,True,True,False,False,False
single_x_9line,richer_obs_base_004,richer_obs_base_007,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,large,medium,compact,compact,0.5121755599975586,7.762732028961182,0.0,True,True,True,False,False
single_x_9line,richer_obs_base_005,richer_obs_base_001,internal_ellipsoid,internal_cuboid,shallow,deep,medium,large,compact,compact,0.6838329434394836,3.082207202911377,2.3999998569488525,False,False,True,True,False
single_x_9line,richer_obs_base_006,richer_obs_base_020,internal_cuboid,internal_cuboid,shallow,shallow,large,medium,compact,elongated_y,0.5395036935806274,12.042009353637695,0.0,True,True,True,False,False
single_x_9line,richer_obs_base_007,richer_obs_base_001,internal_ellipsoid,internal_cuboid,deep_plus,deep,medium,large,compact,compact,0.4038418233394623,5.0059967041015625,0.9999999403953552,False,False,True,True,False
single_x_9line,richer_obs_base_008,richer_obs_base_018,internal_ellipsoid,internal_cuboid,deep_plus,deep_plus,large,large,compact,compact,0.5357921719551086,1.8027758598327637,0.0,False,True,True,True,False
single_x_9line,richer_obs_base_009,richer_obs_base_029,internal_sphere,internal_sphere,deep_plus,deep_plus,medium,small,compact,compact,0.5154106616973877,13.82967758178711,0.0,True,True,True,False,False
single_x_9line,richer_obs_base_010,richer_obs_base_026,internal_ellipsoid,internal_ellipsoid,medium,deep_plus,large,medium,elongated_y,elongated_y,0.352714478969574,2.1000001430511475,2.1999998092651367,True,False,True,False,False
single_x_9line,richer_obs_base_011,richer_obs_base_012,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
