model,seed,selected_seed,split,param,sample_count,normalized_mae,physical_mae,physical_mae_mm,relative_mae,r2
conv1d_rbc_param_gate,42,True,test,W_m,18,0.6028533577919006,0.0027375102508813143,2.7375102043151855,0.2671055495738983,0.4093950216374498
conv1d_rbc_param_gate,42,True,test,D_m,18,0.7190905809402466,0.0011063909623771906,1.1063909530639648,0.3693773150444031,0.1999763904823887
conv1d_rbc_param_gate,42,True,test,wLD,18,0.8676269054412842,0.20865432918071747,,,-0.10080582370011704
conv1d_rbc_param_gate,42,True,test,wWD,18,0.8638818264007568,0.19074660539627075,,,-0.1487716166976918
conv1d_rbc_param_gate,42,True,test,wLW,18,0.8048118948936462,0.17212708294391632,,,-0.05931777868151156
conv1d_rbc_param_gate,42,True,test,ALL,18,0.7092990279197693,0.0963129848241806,,,
conv1d_rbc_param_gate,42,True,test,DIMENSION_MEAN,18,0.573157787322998,0.0021166056394577026,2.116605758666992,,
conv1d_rbc_param_gate,42,True,test,CURVATURE_MEAN,18,0.845440149307251,0.19050933420658112,,,
conv1d_rbc_param_gate,123,False,train,L_m,76,0.40629884600639343,0.002561194822192192,2.561194896697998,0.1427166759967804,0.7564852304237689
conv1d_rbc_param_gate,123,False,train,W_m,76,0.47947412729263306,0.002177254995331168,2.1772549152374268,0.21957194805145264,0.6114014257604383
conv1d_rbc_param_gate,123,False,train,D_m,76,0.6930492520332336,0.001066323951818049,1.06632399559021,0.44492554664611816,0.2795786617412237
conv1d_rbc_param_gate,123,False,train,wLD,76,0.8553377389907837,0.20569893717765808,,,0.06865311181811662
conv1d_rbc_param_gate,123,False,train,wWD,76,0.831963300704956,0.18369895219802856,,,0.1297874619916305
conv1d_rbc_param_gate,123,False,train,wLW,76,0.8752750754356384,0.1871972233057022,,,0.09104399376086314
conv1d_rbc_param_gate,123,False,train,ALL,76,0.690233051776886,0.09706664830446243,,,
conv1d_rbc_param_gate,123,False,train,DIMENSION_MEAN,76,0.5262741446495056,0.001934924628585577,1.934924602508545,,
conv1d_rbc_param_gate,123,False,train,CURVATURE_MEAN,76,0.8541920781135559,0.19219836592674255,,,
conv1d_rbc_param_gate,123,False,val,L_m,18,0.41050514578819275,0.0025877098087221384,2.587709903717041,0.1500719040632248,0.7286712080114808
conv1d_rbc_param_gate,123,False,val,W_m,18,0.4176369607448578,0.0018964569317176938,1.8964569568634033,0.19791513681411743,0.5429628400359578
conv1d_rbc_param_gate,123,False,val,D_m,18,0.8347471356391907,0.0012843400472775102,1.2843400239944458,0.4565163254737854,0.08817696406586384
conv1d_rbc_param_gate,123,False,val,wLD,18,0.901138424873352,0.21671345829963684,,,-0.33403545809357427
conv1d_rbc_param_gate,123,False,val,wWD,18,0.932225227355957,0.2058369517326355,,,-0.3446403776092386
conv1d_rbc_param_gate,123,False,val,wLW,18,0.8592190742492676,0.1837632954120636,,,-0.517146751963403
conv1d_rbc_param_gate,123,False,val,ALL,18,0.7259120345115662,0.10201369225978851,,,
conv1d_rbc_param_gate,123,False,val,DIMENSION_MEAN,18,0.5542964339256287,0.0019228357123211026,1.9228357076644897,,
conv1d_rbc_param_gate,123,False,val,CURVATURE_MEAN,18,0.8975276350975037,0.20210455358028412,,,
conv1d_rbc_param_gate,123,False,test,L_m,18,0.2659130096435547,0.0016762416344136,1.6762416362762451,0.09175171703100204,0.88597726138784
conv1d_rbc_param_gate,123,False,test,W_m,18,0.5225656032562256,0.0023729298263788223,2.372929811477661,0.2456086426973343,0.47091445493586115
conv1d_rbc_param_gate,123,False,test,D_m,18,0.7370161414146423,0.001133971381932497,1.1339713335037231,0.47027695178985596,0.31957528849342653
conv1d_rbc_param_gate,123,False,test,wLD,18,0.9134396314620972,0.21967178583145142,,,-0.20348749929230947
conv1d_rbc_param_gate,123,False,test,wWD,18,0.9282567501068115,0.20496070384979248,,,-0.18494391033308522
conv1d_rbc_param_gate,123,False,test,wLW,18,0.8178544044494629,0.17491653561592102,,,-0.23391968467848412
conv1d_rbc_param_gate,123,False,test,ALL,18,0.6975075602531433,0.10078869760036469,,,
conv1d_rbc_param_gate,123,False,test,DIMENSION_MEAN,18,0.5084982514381409,0.0017277142032980919,1.72771418094635,,
conv1d_rbc_param_gate,123,False,test,CURVATURE_MEAN,18,0.8865169882774353,0.1998496800661087,,,
conv1d_rbc_param_gate,2026,False,train,L_m,76,0.45678219199180603,0.0028794279787689447,2.879427909851074,0.1562972515821457,0.6732747562046776
