sample_id,split,shape_type,topology_type,representation_target,diagnosis,target_role,suitable_for_six_param_refinement,include_in_success_gate,include_in_rbc_control_gate,include_as_negative_control,exclude_reason,failure_reason,oracle_profile_depth_rmse_m,oracle_projected_mask_Dice,baseline_profile_depth_rmse_m,baseline_projected_mask_Dice,baseline_minus_oracle_rmse_m,true_component_count,pred_component_count,component_recall_proxy,merge_component_proxy
surf_shape_023_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,6.507222223278474e-05,0.9667149059334298,0.0004841234690491351,0.5361972951471758,0.0004190512468163503,1,1,1.0,False
surf_shape_024_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,7.446965885538569e-05,0.9617612977983777,0.0005532442241757018,0.6339285714285714,0.0004787745653203161,1,1,1.0,False
surf_shape_025_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,4.258219562340648e-05,0.9540816326530612,0.0004723831384135362,0.4605911330049261,0.00042980094279012975,1,1,1.0,False
surf_shape_026_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,4.039934343625789e-05,0.955719557195572,0.0008188261272693149,0.3984615384615385,0.000778426783833057,1,1,1.0,False
surf_shape_027_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,7.772328842244177e-05,0.9569620253164557,0.00038489836604100886,0.5714285714285714,0.0003071750776185671,1,1,1.0,False
surf_shape_028_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,9.169775872977344e-05,0.9534192269573836,0.00021784820066138235,0.8674481514878268,0.0001261504419316089,1,1,1.0,False
surf_shape_029_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,7.762369041606704e-05,0.9447236180904522,0.0002843868398951472,0.45355850422195415,0.00020676314947908018,1,1,1.0,False
surf_shape_030_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,9.172002041123127e-05,0.9525547445255474,0.0004107461255741866,0.481994459833795,0.0003190261051629553,1,1,1.0,False
surf_shape_031_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00015282541025000033,0.9556400506970849,0.00036174996843863085,0.6200657894736842,0.00020892455818863052,1,1,1.0,False
surf_shape_032_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00017795447086396782,0.9438423645320198,0.00026916367277319794,0.7763371150729336,9.120920190923011e-05,1,1,1.0,False
surf_shape_033_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_profile_rmse_high|baseline_mask_dice_low,3.406481951310908e-05,0.9565217391304348,0.0007155890674548804,0.3119266055045872,0.0006815242479417714,1,1,1.0,False
