split,sample_pos,sample_index,csv_sample_index,source_sample_id,source_global_index,hard_case_type,signal_mean,signal_std,signal_min,signal_max,signal_range,signal_peak_abs,std_floor_triggered,zscore_input_norm_after_runner_floor,signal_energy_center_x,defect_center_x,defect_center_y,bbox_center_x,bbox_center_y,bbox_center_x_error_cells,bbox_center_y_error_cells,bbox_axis_x_error_cells,bbox_axis_y_error_cells,mask_area
train,10,10,10,v3_train_010,10,both_bins_wrong_like,-4.1437648281619965e-05,2.3169091111802283e-09,-4.144444756093435e-05,-4.143279147683643e-05,1.1656084097921848e-08,4.144444756093435e-05,True,5.675245102796859e-08,0.015877927288033503,0.0239821328865777,-0.0024747474747333,0.024120600894093513,-0.0024242427316494286,0.34443917639440186,0.249998483853066,1.0411138259038368,1.1179995935540554,288.0
train,11,11,11,v3_train_011,11,both_bins_wrong_like,-4.143882958184501e-05,3.0205888979646703e-09,-4.1445691749686375e-05,-4.143601836403832e-05,9.673385648056865e-09,4.1445691749686375e-05,True,7.398901522729204e-08,-0.0031309890347462526,-0.0113947515354666,0.0056060606060666,-0.011457286076620221,0.0055555549915879965,0.1555546745965512,0.25000279725708574,1.5888858349734152,0.711999193556589,333.0
train,12,12,12,v3_train_012,12,both_bins_wrong_like,-4.1441162860185914e-05,6.327184468978642e-09,-4.145594357396476e-05,-4.143580736126751e-05,2.013621269725263e-08,4.145594357396476e-05,True,1.5498373457460213e-07,0.0026625103731917643,0.0111178112785777,0.0007575757575999,0.01105527812615037,0.0007070707324601244,0.15555122013982708,0.24999988002982212,0.493331391842206,0.9299980714270646,245.0
train,13,13,13,v3_train_013,13,both_bins_wrong_like,-4.143534241544937e-05,1.5956823997908145e-09,-4.143741534790024e-05,-4.1432482248637825e-05,4.933099262416363e-09,4.143741534790024e-05,True,3.9086076710272465e-08,0.0010861117797418736,-0.0242590731435022,-0.0040909090909066,-0.024120603688061237,-0.004040403990074992,0.3444427781082876,0.2500002547044007,1.0411091925739244,0.5240013090446888,288.0
train,14,14,14,v3_train_014,14,both_bins_wrong_like,-4.14401077250659e-05,4.745760494721832e-09,-4.1452072764514014e-05,-4.143611658946611e-05,1.5956175047904253e-08,4.1452072764514014e-05,True,1.1624691653526748e-07,-9.472168500253334e-05,-0.0017465103294222,0.0039898989898666,-0.001809044973924756,0.0040404037572443485,0.1555549316770319,0.24999860410776104,1.5888904683033276,1.1180036273450469,296.0
train,15,15,15,v3_train_015,15,bins_correct_center_or_offset_bad,-4.1436898269845795e-05,6.937415947216666e-10,-4.1438423068029806e-05,-4.143502883380279e-05,3.394234227016568e-09,4.1438423068029806e-05,True,1.699312920412767e-08,0.010046931787466658,0.0221328866554666,-0.0037333333333333,0.022110551595687866,-0.0037373737432062626,0.05555846244142519,0.02000002931820079,0.6388915090097615,0.290000747814461,140.0
train,16,16,16,v3_train_016,16,bins_correct_center_or_offset_bad,-4.1437141874970014e-05,6.122400085281384e-10,-4.143896512687206e-05,-4.1436273022554815e-05,2.6921043172478676e-09,4.143896512687206e-05,True,1.4996756210111605e-08,-0.008028945910774203,-0.0132439977665777,-0.0028666666666666,-0.013065326493233442,-0.0029292928520590067,0.44444480237795475,0.30999962462144526,0.9955581300974207,0.78499845385515,115.0
train,17,17,17,v3_train_017,17,bins_correct_center_or_offset_bad,-4.143784320452444e-05,1.8186993665628871e-09,-4.144277045270428e-05,-4.143602563999593e-05,6.744812708348036e-09,4.144277045270428e-05,True,4.454885443602055e-08,0.00671018842001187,0.0092685650474666,-0.002,0.00924623035825789,-0.0020202018204145133,0.05555754064847341,0.099999013286993,1.5433417224915296,0.28000035666828405,144.0
train,18,18,18,v3_train_018,18,bins_correct_center_or_offset_bad,-4.14385575762329e-05,2.4302282950476164e-09,-4.144438571529463e-05,-4.143629121244885e-05,8.094502845779061e-09,4.144438571529463e-05,True,5.9528192813405875e-08,-0.009305774422771768,-0.0261083193746488,-0.0011333333333333,-0.02613065391778946,-0.0011111108178738505,0.05555717730419087,0.1100014539829994,1.0911090865894129,0.2899987309189652,130.0
train,19,19,19,v3_train_019,19,bins_correct_center_or_offset_bad,-4.1439680462644904e-05,4.306400901203587e-09,-4.145136699662544e-05,-4.143634214415215e-05,1.5024852473288774e-08,4.145136699662544e-05,True,1.0548484835810421e-07,-0.0009020465891791151,-0.0035957565605333,-0.0002666666666666,-0.0036180902388878167,-0.00030303017774713226,0.055555026148611325,0.17999938387193443,0.638890640260403,0.7850029558540244,140.0
