sample_index,signal_normalization,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
366,none,1.0,14,14,1065.388671875,7.0132856369018555
367,none,1.0,7,7,317.25958251953125,3.7279272079467773
368,none,1.0,11,11,700.9235229492188,5.555237293243408
369,none,1.0,9,9,646.4104614257812,4.015745162963867
370,none,1.0,7,7,703.4336547851562,6.001868724822998
371,none,1.0,3,3,150.73626708984375,1.8373712301254272
372,none,0.8333333333333334,5,6,5119.54443359375,6.867093563079834
373,none,1.0,7,7,1744.0162353515625,8.367631912231445
374,none,1.0,10,10,3221.08935546875,13.181439399719238
375,none,1.0,14,14,1173.939453125,7.365812301635742
376,none,1.0,5,5,165.79281616210938,2.2255403995513916
377,none,1.0,7,7,696.779541015625,5.367946147918701
378,none,1.0,4,4,297.9281311035156,3.4270386695861816
379,none,1.0,5,5,44.6226692199707,1.118357539176941
380,none,1.0,4,4,99.65621185302734,1.6664084196090698
381,none,1.0,9,9,1638.470947265625,7.736522197723389
382,none,1.0,6,6,224.15528869628906,2.66802978515625
383,none,1.0,6,6,216.89776611328125,3.2092108726501465
384,none,1.0,8,8,2026.3887939453125,10.783757209777832
385,none,1.0,11,11,529.4107055664062,3.3066723346710205
386,none,1.0,7,7,1693.3673095703125,8.834846496582031
387,none,1.0,4,4,348.9019775390625,3.0439085960388184
388,none,1.0,4,4,775.534912109375,5.040414333343506
389,none,1.0,6,6,871.99560546875,5.8877668380737305
390,none,1.0,5,5,190.32659912109375,2.1883537769317627
391,none,1.0,3,3,451.7480773925781,3.3193042278289795
392,none,1.0,12,12,1212.9033203125,7.9019598960876465
393,none,1.0,5,5,239.23171997070312,3.218881845474243
394,none,0.0,0,7,34933.046875,35.278743743896484
395,none,1.0,7,7,1211.5640869140625,7.035345554351807
396,none,1.0,8,8,2294.63916015625,10.369379043579102
397,none,1.0,5,5,617.0671997070312,5.222804069519043
398,none,1.0,9,9,927.5003051757812,5.0529890060424805
399,none,1.0,14,14,2309.54052734375,9.746548652648926
400,none,1.0,7,7,1144.7362060546875,7.210605621337891
401,none,1.0,3,3,68.01830291748047,1.6784405708312988
402,none,1.0,16,16,231.16351318359375,2.935354232788086
403,none,1.0,6,6,2028.5452880859375,11.606200218200684
404,none,1.0,6,6,667.6414184570312,4.9814453125
405,none,0.8571428571428571,6,7,6691.79296875,13.290627479553223
406,none,1.0,13,13,314.5598449707031,4.357714653015137
407,none,1.0,14,14,1376.5201416015625,8.310067176818848
408,none,0.8571428571428571,6,7,6291.1220703125,11.729089736938477
409,none,1.0,6,6,262.4542236328125,2.7350714206695557
410,none,1.0,13,13,1408.5401611328125,8.091090202331543
411,none,1.0,10,10,811.90185546875,5.581467151641846
412,none,1.0,4,4,899.0982666015625,4.528055191040039
413,none,0.8888888888888888,8,9,6487.365234375,15.266548156738281
414,none,1.0,6,6,155.14234924316406,1.1884077787399292
415,none,0.8333333333333334,5,6,6366.32373046875,14.054228782653809
416,none,1.0,5,5,1085.2916259765625,5.513189792633057
