sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
57,per_sample_zscore,concat,mlp,none,direct,1.0,14,14,330710.375,556.3702392578125
58,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,281704.46875,522.0111083984375
59,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,172087.875,395.7853088378906
60,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,259513.09375,496.5026550292969
61,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,177670.5625,408.94476318359375
62,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,276713.4375,519.3963623046875
63,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,250934.875,494.8157043457031
64,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,243243.359375,482.0941162109375
65,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,167256.046875,396.8575744628906
66,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,200395.75,440.9587707519531
67,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,313952.03125,551.3056640625
68,per_sample_zscore,concat,mlp,none,direct,0.8,12,15,185145.703125,417.2601013183594
69,per_sample_zscore,concat,mlp,none,direct,1.0,16,16,228003.59375,473.17779541015625
70,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,303420.71875,537.0501708984375
71,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,199949.203125,430.4853515625
72,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,222164.296875,461.90155029296875
73,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,278693.1875,518.3693237304688
74,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,248928.4375,482.08050537109375
75,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,227068.0,465.4930114746094
76,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,196824.921875,430.5011901855469
77,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,269473.53125,495.08038330078125
78,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,184059.953125,412.2512512207031
79,per_sample_zscore,concat,mlp,none,direct,1.0,13,13,239066.4375,476.79632568359375
80,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,226993.28125,465.74237060546875
81,per_sample_zscore,concat,mlp,none,direct,1.0,17,17,212531.359375,454.44873046875
82,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,223281.0,463.7674865722656
83,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,193537.0,428.10296630859375
84,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,194786.390625,429.36749267578125
