split,true_center_x_bin,true_center_y_bin,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,center_offset_error_mean,center_offset_error_min,center_offset_error_max,center_grid_error_mean,center_grid_error_min,center_grid_error_max,local_vertex_grid_mae_mean,local_vertex_grid_mae_min,local_vertex_grid_mae_max,decoded_vertex_mae_mean,decoded_vertex_mae_min,decoded_vertex_mae_max,x_bin_correct_rate,y_bin_correct_rate,both_bins_correct_rate,zero_iou_rate
test,17,5,1,1,0.0,0.0,0.0,0.24731267988681793,0.24731267988681793,0.24731267988681793,17.77447306053327,17.77447306053327,17.77447306053327,2.615882657468319,2.615882657468319,2.615882657468319,0.003544107312336564,0.003544107312336564,0.003544107312336564,0.0,0.0,0.0,1.0
train,3,3,1,1,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.0025489330291748047,0.0025489330291748047,0.0025489330291748047,0.036579394230328056,0.036579394230328056,0.036579394230328056,0.01612342894077301,0.01612342894077301,0.01612342894077301,7.838476449251175e-06,7.838476449251175e-06,7.838476449251175e-06,1.0,1.0,1.0,0.0
train,3,5,1,1,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.002827165648341179,0.002827165648341179,0.002827165648341179,0.04190439916873603,0.04190439916873603,0.04190439916873603,0.011566579341888428,0.011566579341888428,0.011566579341888428,9.003750164993107e-06,9.003750164993107e-06,9.003750164993107e-06,1.0,1.0,1.0,0.0
train,4,6,1,1,1.0,1.0,1.0,0.0027558431029319763,0.0027558431029319763,0.0027558431029319763,0.03803069451291446,0.03803069451291446,0.03803069451291446,0.012225449085235596,0.012225449085235596,0.012225449085235596,8.237635483965278e-06,8.237635483965278e-06,8.237635483965278e-06,1.0,1.0,1.0,0.0
train,5,5,1,1,0.9869565217391304,0.9869565217391304,0.9869565217391304,0.002895195037126541,0.002895195037126541,0.002895195037126541,0.04376207767500576,0.04376207767500576,0.04376207767500576,0.012308090925216675,0.012308090925216675,0.012308090925216675,9.348179446533322e-06,9.348179446533322e-06,9.348179446533322e-06,1.0,1.0,1.0,0.0
train,5,7,1,1,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.001847635954618454,0.001847635954618454,0.001847635954618454,0.026452575718371868,0.026452575718371868,0.026452575718371868,0.006805822253227234,0.006805822253227234,0.006805822253227234,5.636888090521097e-06,5.636888090521097e-06,5.636888090521097e-06,1.0,1.0,1.0,0.0
train,6,3,1,1,1.0,1.0,1.0,0.002050831913948059,0.002050831913948059,0.002050831913948059,0.03174450123941986,0.03174450123941986,0.03174450123941986,0.004853174090385437,0.004853174090385437,0.004853174090385437,6.582791684195399e-06,6.582791684195399e-06,6.582791684195399e-06,1.0,1.0,1.0,0.0
train,6,4,1,1,1.0,1.0,1.0,0.002352416515350342,0.002352416515350342,0.002352416515350342,0.03590442029871912,0.03590442029871912,0.03590442029871912,0.009290099143981934,0.009290099143981934,0.009290099143981934,7.5097777880728245e-06,7.5097777880728245e-06,7.5097777880728245e-06,1.0,1.0,1.0,0.0
train,6,6,2,2,0.9964539007092199,0.9929078014184397,1.0,0.0017906781286001205,0.000396728515625,0.003184627741575241,0.02471091762052576,0.00468230472651225,0.04473953051453927,0.006986960768699646,0.005334317684173584,0.008639603853225708,5.721398338209838e-06,1.9101862562820315e-06,9.532610420137644e-06,1.0,1.0,1.0,0.0
train,6,8,1,1,1.0,1.0,1.0,0.001997709274291992,0.001997709274291992,0.001997709274291992,0.027798207086881323,0.027798207086881323,0.027798207086881323,0.00887589156627655,0.00887589156627655,0.00887589156627655,5.967915058135986e-06,5.967915058135986e-06,5.967915058135986e-06,1.0,1.0,1.0,0.0
