sample_index,signal_normalization,conditioning_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
480,per_sample_zscore,film,1.0,2,2,26.45083999633789,0.9086878895759583
481,per_sample_zscore,film,1.0,5,5,157.98867797851562,2.6921308040618896
482,per_sample_zscore,film,1.0,17,17,891.649658203125,8.629555702209473
483,per_sample_zscore,film,1.0,2,2,135.64381408691406,1.7623082399368286
484,per_sample_zscore,film,1.0,5,5,824.6056518554688,9.263229370117188
485,per_sample_zscore,film,1.0,12,12,1131.0074462890625,10.797052383422852
486,per_sample_zscore,film,1.0,5,5,52.67206954956055,1.2081228494644165
487,per_sample_zscore,film,1.0,4,4,99.4662857055664,2.4148998260498047
488,per_sample_zscore,film,1.0,4,4,367.89813232421875,9.455424308776855
489,per_sample_zscore,film,1.0,8,8,1026.51904296875,14.924175262451172
490,per_sample_zscore,film,1.0,11,11,738.1595458984375,9.433213233947754
491,per_sample_zscore,film,1.0,6,6,145.19935607910156,2.633549213409424
492,per_sample_zscore,film,1.0,5,5,471.77313232421875,9.938587188720703
493,per_sample_zscore,film,1.0,4,4,404.376708984375,6.365944862365723
494,per_sample_zscore,film,1.0,10,10,488.6791076660156,6.363096714019775
495,per_sample_zscore,film,1.0,4,4,41.84568405151367,1.30499267578125
496,per_sample_zscore,film,1.0,5,5,409.4565734863281,5.830683708190918
497,per_sample_zscore,film,1.0,7,7,272.6370849609375,3.5618526935577393
498,per_sample_zscore,film,1.0,6,6,405.4835205078125,7.074106216430664
499,per_sample_zscore,film,1.0,6,6,266.5765380859375,4.128295421600342
500,per_sample_zscore,film,1.0,6,6,532.5787353515625,11.012751579284668
501,per_sample_zscore,film,1.0,9,9,461.7526550292969,6.920943737030029
502,per_sample_zscore,film,1.0,6,6,197.86598205566406,3.332265615463257
503,per_sample_zscore,film,1.0,7,7,100.86939239501953,2.653338670730591
504,per_sample_zscore,film,1.0,5,5,255.28236389160156,4.919600009918213
505,per_sample_zscore,film,1.0,6,6,176.58914184570312,2.9991202354431152
506,per_sample_zscore,film,1.0,4,4,214.5720672607422,3.4936084747314453
507,per_sample_zscore,film,1.0,10,10,370.2099609375,4.595623016357422
508,per_sample_zscore,film,1.0,3,3,193.8120880126953,2.6089959144592285
509,per_sample_zscore,film,1.0,9,9,968.0689086914062,10.429096221923828
510,per_sample_zscore,film,1.0,16,16,957.5615844726562,11.51589584350586
511,per_sample_zscore,film,1.0,6,6,463.16448974609375,6.477348804473877
512,per_sample_zscore,film,1.0,5,5,122.6199722290039,2.7450788021087646
513,per_sample_zscore,film,1.0,9,9,104.82093048095703,1.8448610305786133
514,per_sample_zscore,film,1.0,2,2,210.42906188964844,4.908106803894043
515,per_sample_zscore,film,1.0,6,6,1348.4681396484375,17.555227279663086
516,per_sample_zscore,film,1.0,11,11,711.59912109375,9.941044807434082
517,per_sample_zscore,film,0.875,7,8,5780.7841796875,14.291306495666504
518,per_sample_zscore,film,1.0,9,9,311.9365234375,4.476394176483154
519,per_sample_zscore,film,1.0,7,7,456.5076599121094,6.914769172668457
520,per_sample_zscore,film,1.0,12,12,701.065673828125,8.060912132263184
521,per_sample_zscore,film,1.0,18,18,342.5408630371094,5.043466567993164
522,per_sample_zscore,film,1.0,6,6,314.15264892578125,6.460416793823242
523,per_sample_zscore,film,1.0,5,5,436.68536376953125,6.320429801940918
524,per_sample_zscore,film,1.0,9,9,446.4248046875,7.180323600769043
525,per_sample_zscore,film,1.0,7,7,1327.568115234375,18.615825653076172
526,per_sample_zscore,film,1.0,12,12,992.4972534179688,10.91459846496582
527,per_sample_zscore,film,1.0,5,5,389.75836181640625,7.275453567504883
528,per_sample_zscore,film,1.0,3,3,22.371278762817383,0.9841663837432861
529,per_sample_zscore,film,1.0,6,6,185.74053955078125,4.5329461097717285
530,per_sample_zscore,film,1.0,6,6,464.7294921875,6.623589992523193
531,per_sample_zscore,film,1.0,4,4,184.16371154785156,4.105332851409912
532,per_sample_zscore,film,1.0,2,2,159.49496459960938,3.93400502204895
533,per_sample_zscore,film,1.0,6,6,419.2878112792969,4.3569769859313965
534,per_sample_zscore,film,1.0,3,3,393.1934509277344,7.570712089538574
535,per_sample_zscore,film,1.0,9,9,650.2183837890625,6.799678325653076
536,per_sample_zscore,film,0.0,0,6,30293.751953125,32.542236328125
537,per_sample_zscore,film,0.0,0,6,29950.9921875,30.55883026123047
538,per_sample_zscore,film,1.0,6,6,66.91313171386719,1.4715423583984375
539,per_sample_zscore,film,1.0,6,6,915.7203369140625,14.286455154418945
540,per_sample_zscore,film,1.0,10,10,164.61248779296875,3.066643714904785
541,per_sample_zscore,film,1.0,9,9,470.0987548828125,6.689245700836182
542,per_sample_zscore,film,1.0,5,5,651.1890258789062,7.838496208190918
543,per_sample_zscore,film,1.0,4,4,780.3275146484375,13.309931755065918
544,per_sample_zscore,film,1.0,17,17,368.026611328125,4.953761100769043
545,per_sample_zscore,film,1.0,6,6,193.79364013671875,3.6260898113250732
546,per_sample_zscore,film,1.0,14,14,2008.5665283203125,19.9910945892334
547,per_sample_zscore,film,1.0,12,12,738.2775268554688,9.556787490844727
548,per_sample_zscore,film,1.0,5,5,609.411865234375,9.522921562194824
549,per_sample_zscore,film,1.0,12,12,290.3642883300781,4.979835510253906
550,per_sample_zscore,film,1.0,5,5,271.1977233886719,4.000004291534424
551,per_sample_zscore,film,1.0,7,7,550.6633911132812,8.040411949157715
552,per_sample_zscore,film,1.0,9,9,261.0679931640625,3.9113950729370117
553,per_sample_zscore,film,1.0,4,4,410.13800048828125,6.13823127746582
554,per_sample_zscore,film,1.0,16,16,1099.436279296875,14.659987449645996
555,per_sample_zscore,film,1.0,6,6,149.15150451660156,2.9248452186584473
556,per_sample_zscore,film,1.0,5,5,232.83871459960938,4.2462053298950195
557,per_sample_zscore,film,1.0,6,6,1878.9212646484375,22.740501403808594
558,per_sample_zscore,film,0.0,0,6,29994.841796875,32.81661605834961
559,per_sample_zscore,film,1.0,5,5,928.987060546875,17.717430114746094
560,per_sample_zscore,film,1.0,7,7,763.0248413085938,10.572208404541016
561,per_sample_zscore,film,1.0,3,3,115.99884796142578,2.3452048301696777
562,per_sample_zscore,film,1.0,6,6,1109.125244140625,12.677430152893066
563,per_sample_zscore,film,1.0,8,8,430.50653076171875,6.541564464569092
564,per_sample_zscore,film,1.0,6,6,84.37224578857422,1.8689323663711548
565,per_sample_zscore,film,1.0,5,5,760.4157104492188,10.20179557800293
566,per_sample_zscore,film,1.0,6,6,346.5108642578125,5.521480560302734
567,per_sample_zscore,film,1.0,4,4,325.15789794921875,5.255713939666748
568,per_sample_zscore,film,1.0,6,6,170.03781127929688,3.119028329849243
569,per_sample_zscore,film,1.0,9,9,961.6365356445312,11.300864219665527
570,per_sample_zscore,film,1.0,10,10,471.9412841796875,6.1654052734375
571,per_sample_zscore,film,1.0,9,9,813.74658203125,10.565298080444336
572,per_sample_zscore,film,1.0,10,10,1527.8377685546875,15.771160125732422
573,per_sample_zscore,film,1.0,4,4,732.85986328125,15.300732612609863
574,per_sample_zscore,film,1.0,12,12,261.9278869628906,3.51396107673645
575,per_sample_zscore,film,1.0,5,5,114.1291275024414,1.6931469440460205
576,per_sample_zscore,film,1.0,7,7,313.6224670410156,4.407723903656006
577,per_sample_zscore,film,1.0,4,4,474.4081115722656,8.210040092468262
578,per_sample_zscore,film,1.0,5,5,564.78125,8.472343444824219
579,per_sample_zscore,film,0.9,9,10,5354.384765625,9.818848609924316
580,per_sample_zscore,film,1.0,11,11,317.37432861328125,4.346912384033203
581,per_sample_zscore,film,1.0,10,10,310.4205322265625,4.573431015014648
582,per_sample_zscore,film,0.0,0,4,19990.439453125,21.45037841796875
583,per_sample_zscore,film,1.0,10,10,675.5931396484375,10.532209396362305
584,per_sample_zscore,film,1.0,13,13,552.5179443359375,6.194284439086914
585,per_sample_zscore,film,1.0,10,10,530.0741577148438,8.308942794799805
586,per_sample_zscore,film,1.0,12,12,1448.24755859375,15.791738510131836
587,per_sample_zscore,film,1.0,6,6,219.18275451660156,3.994436740875244
588,per_sample_zscore,film,1.0,12,12,300.8716735839844,4.058204174041748
589,per_sample_zscore,film,1.0,5,5,310.037109375,4.917588710784912
590,per_sample_zscore,film,1.0,8,8,1247.9158935546875,12.525506973266602
591,per_sample_zscore,film,1.0,5,5,416.5347595214844,6.832746505737305
592,per_sample_zscore,film,1.0,4,4,600.063720703125,11.871115684509277
593,per_sample_zscore,film,1.0,5,5,350.3735656738281,4.876014709472656
594,per_sample_zscore,film,1.0,9,9,912.787353515625,10.150843620300293
595,per_sample_zscore,film,1.0,10,10,546.6919555664062,9.989240646362305
596,per_sample_zscore,film,1.0,9,9,426.5560607910156,5.052398681640625
597,per_sample_zscore,film,1.0,4,4,276.9122009277344,3.9356529712677
598,per_sample_zscore,film,1.0,6,6,301.8200378417969,4.856558799743652
599,per_sample_zscore,film,1.0,4,4,85.38285827636719,2.3574330806732178
600,per_sample_zscore,film,1.0,4,4,109.55729675292969,2.3571789264678955
601,per_sample_zscore,film,1.0,5,5,138.35804748535156,2.90274715423584
602,per_sample_zscore,film,1.0,7,7,530.3312377929688,7.697545051574707
603,per_sample_zscore,film,1.0,6,6,296.5838928222656,4.642456531524658
604,per_sample_zscore,film,1.0,6,6,369.76171875,7.9676947593688965
