sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
32,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1280,167727.125,406.1828918457031
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1059,155375.25,390.3680114746094
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,975,154103.9375,389.00408935546875
35,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1250,163996.28125,401.3052978515625
36,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1018,154936.78125,389.95172119140625
37,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1098,159029.3125,395.19598388671875
38,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1212,157273.703125,392.2806396484375
39,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,979,154438.109375,389.4437561035156
40,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1063,158803.015625,395.03448486328125
41,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1181,160215.578125,396.4646301269531
42,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1097,155422.71875,390.2591857910156
43,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1047,159746.171875,396.37481689453125
44,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1150,159251.40625,395.2830505371094
45,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1058,155396.984375,390.40216064453125
46,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1010,157180.703125,393.0543518066406
47,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1280,164141.15625,401.3836364746094
48,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1059,158608.71875,394.7879333496094
49,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,975,157613.0,393.7877197265625
50,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1074,158901.96875,395.125732421875
51,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1028,157456.1875,393.35516357421875
52,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,946,149935.71875,383.3666076660156
53,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1184,162167.84375,399.09814453125
