sample_index,signal_normalization,conditioning_mode,encoder_type,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
966,per_sample_zscore,film,cnn,1.0,5,5,83.3211898803711,1.5258166790008545
967,per_sample_zscore,film,cnn,1.0,6,6,11.393798828125,1.3983943462371826
968,per_sample_zscore,film,cnn,1.0,8,8,73.2396469116211,2.1037380695343018
969,per_sample_zscore,film,cnn,1.0,8,8,30.233686447143555,1.306667447090149
970,per_sample_zscore,film,cnn,1.0,5,5,296.4261474609375,5.026605129241943
971,per_sample_zscore,film,cnn,1.0,6,6,66.51457214355469,1.7705589532852173
972,per_sample_zscore,film,cnn,1.0,6,6,16.91947364807129,0.9766979217529297
973,per_sample_zscore,film,cnn,1.0,5,5,204.40769958496094,3.526402235031128
974,per_sample_zscore,film,cnn,1.0,6,6,9.698265075683594,0.6738967299461365
975,per_sample_zscore,film,cnn,1.0,4,4,16.819927215576172,0.7503962516784668
976,per_sample_zscore,film,cnn,1.0,6,6,12.569077491760254,0.8049006462097168
977,per_sample_zscore,film,cnn,1.0,9,9,33.45524597167969,1.2417385578155518
978,per_sample_zscore,film,cnn,1.0,6,6,1.8814177513122559,0.4231639504432678
979,per_sample_zscore,film,cnn,1.0,6,6,28.183311462402344,1.0429778099060059
980,per_sample_zscore,film,cnn,1.0,10,10,71.73004150390625,2.059751510620117
981,per_sample_zscore,film,cnn,1.0,9,9,13.043416976928711,0.9649226665496826
982,per_sample_zscore,film,cnn,0.6,3,5,9987.6708984375,10.525932312011719
983,per_sample_zscore,film,cnn,1.0,5,5,6.5906500816345215,0.45368748903274536
984,per_sample_zscore,film,cnn,1.0,14,14,398.8633728027344,5.706896781921387
985,per_sample_zscore,film,cnn,1.0,4,4,0.5566081404685974,0.27169299125671387
986,per_sample_zscore,film,cnn,1.0,5,5,56.48353576660156,1.4745643138885498
987,per_sample_zscore,film,cnn,1.0,5,5,48.904510498046875,1.7229156494140625
988,per_sample_zscore,film,cnn,0.0,0,3,15250.0478515625,17.98763656616211
989,per_sample_zscore,film,cnn,1.0,8,8,7.58323860168457,0.9241409301757812
990,per_sample_zscore,film,cnn,1.0,6,6,42.85942840576172,1.0792148113250732
991,per_sample_zscore,film,cnn,1.0,6,6,10.291086196899414,0.8144021034240723
992,per_sample_zscore,film,cnn,1.0,9,9,516.2619018554688,5.904007434844971
993,per_sample_zscore,film,cnn,1.0,10,10,321.40869140625,5.859566688537598
994,per_sample_zscore,film,cnn,0.5,3,6,15059.1845703125,16.925395965576172
995,per_sample_zscore,film,cnn,1.0,12,12,536.0175170898438,6.658224105834961
996,per_sample_zscore,film,cnn,1.0,12,12,83.97541046142578,2.2976720333099365
997,per_sample_zscore,film,cnn,1.0,13,13,208.9374542236328,3.847907781600952
998,per_sample_zscore,film,cnn,1.0,9,9,38.364620208740234,1.2048410177230835
999,per_sample_zscore,film,cnn,1.0,4,4,1.8335953950881958,0.3340728282928467
