sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1059,121141.578125,329.796142578125
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,975,116188.671875,324.4240417480469
35,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1250,125839.421875,338.0151672363281
36,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1018,120835.828125,329.8400573730469
37,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1098,117547.1875,326.21295166015625
38,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1212,124009.4609375,335.73724365234375
39,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,979,122909.890625,333.9732360839844
40,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1063,116845.53125,325.1577453613281
41,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1181,120740.5859375,329.4109802246094
42,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1097,128581.1953125,342.3409729003906
43,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1047,116755.828125,325.2366638183594
44,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1150,121096.1640625,330.0227355957031
45,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1058,130526.21875,346.96356201171875
46,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1010,117421.6328125,326.4910888671875
47,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1280,122513.984375,331.7976379394531
48,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1059,120450.3515625,328.96783447265625
49,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,975,116020.15625,324.13787841796875
50,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1074,118044.8671875,326.5674133300781
51,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1028,118560.265625,326.95166015625
52,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,946,120202.390625,328.6401062011719
53,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1184,118485.65625,326.9263916015625
54,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1004,118721.359375,327.9441223144531
55,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,919,120638.953125,330.4776611328125
56,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1163,119651.2421875,329.0163879394531
57,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,975,116949.7890625,324.58856201171875
58,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1030,123568.6171875,334.5846252441406
59,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1115,118450.5703125,327.3299865722656
60,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,951,117053.4765625,324.7670593261719
61,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1003,128873.8828125,346.2461242675781
62,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1092,118811.609375,328.0
63,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1053,119628.5703125,328.61663818359375
64,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,973,120122.34375,328.6540222167969
65,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1074,117348.8125,325.6095275878906
66,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1028,120484.96875,330.03985595703125
67,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,946,121059.7734375,331.0575256347656
68,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1184,120333.234375,330.0575866699219
69,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1004,118048.21875,326.6292419433594
70,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,919,123388.1875,335.05218505859375
71,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1163,118789.03125,327.5401306152344
72,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,975,118041.5234375,326.3877258300781
73,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1030,121766.578125,330.03271484375
74,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1115,117915.0078125,326.5805358886719
75,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1071,117509.25,326.2892150878906
76,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,987,118174.859375,326.8879699707031
77,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1234,130129.90625,342.7741394042969
78,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1028,117766.578125,326.75146484375
79,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1115,119351.3125,328.14178466796875
80,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1202,124132.515625,333.8791809082031
81,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,993,116194.6484375,324.25299072265625
82,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1078,119372.265625,328.1012878417969
83,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1168,125009.2578125,334.22967529296875
84,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1113,119332.03125,328.96600341796875
85,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1061,118742.1953125,327.4761047363281
86,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1140,124364.125,333.1388244628906
87,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1070,117783.9140625,326.60919189453125
88,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1024,118502.7578125,327.2710876464844
89,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1265,126262.0546875,335.3279724121094
90,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1071,117577.40625,326.4447021484375
91,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,987,118134.6171875,326.7795104980469
92,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1234,131185.046875,344.4561462402344
93,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1028,116637.078125,325.0029602050781
94,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1115,119917.8515625,329.3074645996094
95,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1202,124564.734375,333.75048828125
96,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,993,116650.765625,324.98309326171875
97,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1078,119805.6484375,329.4184875488281
98,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1168,129697.96875,343.54241943359375
99,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,0.0,0,1113,119088.8203125,328.5504455566406
