group,rank,sample_index,defect_iou,baseline_iou,iou_improvement,defect_area_pred,defect_area_label,area_error,area_abs_error,centroid_offset,failure_types
centroid_offset_10,5,47,0.134349,0.040092,0.094257,4252,662,3590,3590,2.6909,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
centroid_offset_10,6,31,0.450556,0.078562,0.371994,1561,918,643,643,2.6277,low IoU; centroid shift; shape detail mismatch
centroid_offset_10,7,43,0.337901,0.117991,0.219910,3135,1454,1681,1681,2.4229,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
centroid_offset_10,8,86,0.365755,0.086297,0.279458,3670,1371,2299,2299,2.3108,low IoU; area overprediction; centroid shift; false positive diffusion
centroid_offset_10,9,41,0.380181,0.124559,0.255622,4724,1836,2888,2888,2.1878,low IoU; area overprediction; centroid shift; false positive diffusion
centroid_offset_10,10,1,0.403453,0.081387,0.322066,2805,1178,1627,1627,2.0858,low IoU; area overprediction; centroid shift; false positive diffusion
improvement_largest_10,1,98,0.977070,0.010751,0.966319,774,778,-4,4,0.0019,minor local shape detail mismatch
improvement_largest_10,2,5,0.993639,0.051438,0.942200,782,785,-3,3,0.0029,minor local shape detail mismatch
improvement_largest_10,3,81,0.987179,0.052335,0.934845,616,624,-8,8,0.0072,minor local shape detail mismatch
improvement_largest_10,4,45,0.987934,0.056143,0.931790,660,658,2,2,0.0088,minor local shape detail mismatch
improvement_largest_10,5,75,0.977712,0.058314,0.919397,664,667,-3,3,0.0201,minor local shape detail mismatch
improvement_largest_10,6,35,0.962151,0.043113,0.919038,489,496,-7,7,0.0099,boundary/narrow-defect sample
improvement_largest_10,7,26,0.971499,0.052468,0.919031,797,794,3,3,0.0061,minor local shape detail mismatch
improvement_largest_10,8,82,0.945402,0.029738,0.915664,334,343,-9,9,0.0125,boundary/narrow-defect sample
improvement_largest_10,9,58,0.977394,0.063051,0.914342,744,743,1,1,0.0072,minor local shape detail mismatch
improvement_largest_10,10,89,0.966027,0.056328,0.909698,670,661,9,9,0.0140,minor local shape detail mismatch
improvement_smallest_10,1,40,0.132256,0.074890,0.057367,8975,1187,7788,7788,1.2791,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
improvement_smallest_10,2,47,0.134349,0.040092,0.094257,4252,662,3590,3590,2.6909,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
improvement_smallest_10,3,54,0.239952,0.133155,0.106797,6654,1645,5009,5009,2.8492,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
improvement_smallest_10,4,17,0.179130,0.066941,0.112189,5143,959,4184,4184,3.9780,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
improvement_smallest_10,5,57,0.190597,0.077462,0.113135,5108,995,4113,4113,3.5255,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
improvement_smallest_10,6,95,0.226625,0.113192,0.113433,4813,1130,3683,3683,2.0836,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
improvement_smallest_10,7,73,0.201920,0.051785,0.150135,2971,660,2311,2311,1.5880,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
improvement_smallest_10,8,29,0.267585,0.067156,0.200429,3391,1024,2367,2367,3.0916,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
improvement_smallest_10,9,43,0.337901,0.117991,0.219910,3135,1454,1681,1681,2.4229,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
improvement_smallest_10,10,49,0.332601,0.109984,0.222617,4512,1550,2962,2962,1.6522,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
