split,true_center_x_bin,true_center_y_bin,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,center_offset_error_mean,center_offset_error_min,center_offset_error_max,center_grid_error_mean,center_grid_error_min,center_grid_error_max,local_vertex_grid_mae_mean,local_vertex_grid_mae_min,local_vertex_grid_mae_max,decoded_vertex_mae_mean,decoded_vertex_mae_min,decoded_vertex_mae_max,x_bin_correct_rate,y_bin_correct_rate,both_bins_correct_rate,zero_iou_rate
test,20,7,1,1,0.43356643356643354,0.43356643356643354,0.43356643356643354,0.3323650360107422,0.3323650360107422,0.3323650360107422,2.6931708337442717,2.6931708337442717,2.6931708337442717,0.49719762802124023,0.49719762802124023,0.49719762802124023,0.0004394305287860334,0.0004394305287860334,0.0004394305287860334,1.0,0.0,0.0,0.0
train,3,3,1,1,0.967391304347826,0.967391304347826,0.967391304347826,0.0017835944890975952,0.0017835944890975952,0.0017835944890975952,0.021616077310064645,0.021616077310064645,0.021616077310064645,0.01705072820186615,0.01705072820186615,0.01705072820186615,7.737311534583569e-06,7.737311534583569e-06,7.737311534583569e-06,1.0,1.0,1.0,0.0
train,3,5,1,1,0.984375,0.984375,0.984375,0.001985771581530571,0.001985771581530571,0.001985771581530571,0.02665321187398645,0.02665321187398645,0.02665321187398645,0.009527027606964111,0.009527027606964111,0.009527027606964111,5.740599590353668e-06,5.740599590353668e-06,5.740599590353668e-06,1.0,1.0,1.0,0.0
train,5,5,1,1,0.991304347826087,0.991304347826087,0.991304347826087,0.0015295911580324173,0.0015295911580324173,0.0015295911580324173,0.022009166496954845,0.022009166496954845,0.022009166496954845,0.002065002918243408,0.002065002918243408,0.002065002918243408,2.879867679439485e-06,2.879867679439485e-06,2.879867679439485e-06,1.0,1.0,1.0,0.0
train,5,7,1,1,1.0,1.0,1.0,0.0011674873530864716,0.0011674873530864716,0.0011674873530864716,0.01621762792938228,0.01621762792938228,0.01621762792938228,0.0014547556638717651,0.0014547556638717651,0.0014547556638717651,2.207350917160511e-06,2.207350917160511e-06,2.207350917160511e-06,1.0,1.0,1.0,0.0
train,6,4,1,1,1.0,1.0,1.0,0.0013795755803585052,0.0013795755803585052,0.0013795755803585052,0.017021036132009313,0.017021036132009313,0.017021036132009313,0.01220560073852539,0.01220560073852539,0.01220560073852539,5.64818037673831e-06,5.64818037673831e-06,5.64818037673831e-06,1.0,1.0,1.0,0.0
train,6,6,2,2,1.0,1.0,1.0,0.001011708751320839,0.0003193467855453491,0.0017040707170963287,0.013824372650730075,0.004798464373752214,0.022850280927707935,0.003979302942752838,0.0027096420526504517,0.005248963832855225,2.5487934181001037e-06,1.1676311260089278e-06,3.92995571019128e-06,1.0,1.0,1.0,0.0
train,6,8,1,1,1.0,1.0,1.0,0.0011401176452636719,0.0011401176452636719,0.0011401176452636719,0.0173544184706201,0.0173544184706201,0.0173544184706201,0.009562402963638306,0.009562402963638306,0.009562402963638306,5.018169758841395e-06,5.018169758841395e-06,5.018169758841395e-06,1.0,1.0,1.0,0.0
train,7,5,1,1,1.0,1.0,1.0,0.001287713646888733,0.001287713646888733,0.001287713646888733,0.017812651510253397,0.017812651510253397,0.017812651510253397,0.0024033337831497192,0.0024033337831497192,0.0024033337831497192,2.6516468096815515e-06,2.6516468096815515e-06,2.6516468096815515e-06,1.0,1.0,1.0,0.0
train,7,7,1,1,1.0,1.0,1.0,0.0009188428521156311,0.0009188428521156311,0.0009188428521156311,0.013647889432338788,0.013647889432338788,0.013647889432338788,0.0015429705381393433,0.0015429705381393433,0.0015429705381393433,1.942142262123525e-06,1.942142262123525e-06,1.942142262123525e-06,1.0,1.0,1.0,0.0
train,8,8,1,1,1.0,1.0,1.0,0.001683168113231659,0.001683168113231659,0.001683168113231659,0.02096344675341485,0.02096344675341485,0.02096344675341485,0.007719218730926514,0.007719218730926514,0.007719218730926514,4.644622094929218e-06,4.644622094929218e-06,4.644622094929218e-06,1.0,1.0,1.0,0.0
train,9,4,1,1,0.9815950920245399,0.9815950920245399,0.9815950920245399,0.001056283712387085,0.001056283712387085,0.001056283712387085,0.015037647904955138,0.015037647904955138,0.015037647904955138,0.003910750150680542,0.003910750150680542,0.003910750150680542,2.7417700039222836e-06,2.7417700039222836e-06,2.7417700039222836e-06,1.0,1.0,1.0,0.0
train,9,7,1,1,1.0,1.0,1.0,0.0018841437995433807,0.0018841437995433807,0.0018841437995433807,0.024444807126155155,0.024444807126155155,0.024444807126155155,0.008898347616195679,0.008898347616195679,0.008898347616195679,5.348942067939788e-06,5.348942067939788e-06,5.348942067939788e-06,1.0,1.0,1.0,0.0
train,10,3,1,1,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.0017074905335903168,0.0017074905335903168,0.0017074905335903168,0.02027808735127689,0.02027808735127689,0.02027808735127689,0.003259509801864624,0.003259509801864624,0.003259509801864624,3.6406891013029963e-06,3.6406891013029963e-06,3.6406891013029963e-06,1.0,1.0,1.0,0.0
train,10,4,1,1,1.0,1.0,1.0,0.0015245825052261353,0.0015245825052261353,0.0015245825052261353,0.018856152814298897,0.018856152814298897,0.018856152814298897,0.005130887031555176,0.005130887031555176,0.005130887031555176,3.465422196313739e-06,3.465422196313739e-06,3.465422196313739e-06,1.0,1.0,1.0,0.0
