sample_index,hard_case_type,polygon_mask_iou,vertex_mae,target_area,pred_area,area_diff,false_positive_pixels,false_negative_pixels,pixel_disagreement,max_abs_dx_cells,max_abs_dy_cells,mean_l2_cells,max_l2_cells,max_edge_diff_cells,mean_edge_diff_cells,pred_width_cells,true_width_cells,pred_height_cells,true_height_cells
10,both_bins_wrong_like,0.8131868131868132,0.0001218866091221571,84,81,-3,7,10,17,0.6263946395795525,0.9274999352730796,0.7373867309498384,0.9330833043541766,1.2578823268125259,0.6624915442109401,21.466217483570073,21.2496194455804,4.9201969691409975,4.029077218564092
11,both_bins_wrong_like,0.7757847533632287,0.00017526078590890393,184,212,28,39,11,50,0.7676153498913798,1.6186528531579938,1.052263469985724,1.730467060880618,2.279671322117488,1.0127536178884957,16.103895659552418,15.92000111199918,5.909604071015956,3.630000157509934
12,both_bins_wrong_like,0.6166666666666667,0.00015374267240986228,88,106,18,32,14,46,0.720357701451131,1.5483937223082869,0.9436913541071734,1.5484783190437803,1.941085602036853,0.663333926613262,22.632208855983812,22.14311570877654,5.862785587745581,4.060718275101147
13,both_bins_wrong_like,0.7326732673267327,0.00022130434081191197,160,190,30,42,12,54,1.084755199061823,2.2213504971586278,1.4229865250489906,2.282362658165553,2.9185564664236177,1.2845155390228558,16.480559898105856,15.92000053283294,6.52796348479681,3.630000157509934
14,both_bins_wrong_like,0.7638888888888888,0.0001921406073961407,120,134,14,24,10,34,0.7923693493223883,1.764680408967966,1.122931387560118,1.7701778146539147,2.0986673676016157,0.622177386555193,24.494705547460292,23.91737316592604,6.696323548175176,4.728769671977938
15,bins_correct_center_or_offset_bad,0.6041666666666666,0.00019561409135349095,76,78,2,20,18,38,0.6657261084554965,1.729442651506163,1.1355444781248747,1.7751561985017814,1.8770219901201712,0.9164106165946339,19.756773579085774,19.526728748941316,5.461328878134389,4.215716405820283
16,bins_correct_center_or_offset_bad,0.7721518987341772,0.00014646683121100068,63,77,14,16,2,18,0.6998436332645335,1.269734632483049,0.870594054965352,1.2718337900820416,1.9958358842605315,0.6844717727175643,20.97181338195086,20.614826895534843,4.999250052480028,3.2365997028525038
17,bins_correct_center_or_offset_bad,0.7,0.00016873219283297658,63,90,27,27,0,27,0.6636017266907184,1.8549197709821859,0.9951227780150731,1.8680417214541063,2.1698902290833804,0.8252941530024333,22.020562974264394,21.668890338091522,5.518170755762698,3.3660000982516234
18,bins_correct_center_or_offset_bad,0.7884615384615384,0.00013020989717915654,92,94,2,12,10,22,0.7730525625434346,1.2905918350203,0.7253547522432398,1.301046369498326,1.3441674272280673,0.7346393413566592,22.325899415483306,22.83732173787031,5.040413160780368,3.918141051228517
19,bins_correct_center_or_offset_bad,0.6636363636363637,0.00010863173520192504,92,91,-1,18,19,37,0.5603531096960415,0.8959718248837849,0.672582668651466,0.9295762238700848,1.1011131506042986,0.6263663538364754,24.109444165254626,23.9485754574709,5.013336050622225,4.258911104140676
20,bins_correct_center_or_offset_bad,0.7285714285714285,0.00018428731709718704,57,64,7,13,6,19,0.7710509640213318,1.2611751260871096,1.0063606809786916,1.2901505873160428,1.7820707683637664,0.8930249766529319,19.80171687923484,19.4577778498518,4.792143697861068,3.035999366886898
21,bins_correct_center_or_offset_bad,0.5185185185185185,0.00016761879669502378,63,60,-3,18,21,39,0.8533620699128971,1.5213765427591623,1.0153417225704449,1.5233753180360947,1.4185251065513278,0.9226528572401214,20.077043242611957,20.620616241260237,4.494887877141414,3.5665719635763455
22,geometry_or_type_interaction,0.6296296296296297,0.00017766888777259737,102,162,60,60,0,60,0.6779441994341656,1.8093580297016005,1.1513867609556523,1.894165356106037,2.5153936772898806,1.0668984781235835,16.032903778636538,15.919998795334223,5.418119485289666,2.9039999675375867
23,geometry_or_type_interaction,0.6273291925465838,0.00017859932268038392,105,157,52,56,4,60,0.5835725357809485,2.0513481045908804,1.2538104206134966,2.111029014523942,2.8678282261812207,1.2799461106784769,16.005159399121837,15.919998795334223,5.771270683394276,2.904000039569569
24,geometry_or_type_interaction,0.6928104575163399,0.0001849419204518199,120,139,19,33,14,47,0.7405358532190887,1.6698788293423987,1.0024880691626392,1.782786070766554,2.4039667650014724,0.962122389153521,15.857745374632898,15.920001111999177,5.306695229244126,2.9039998955056046
25,geometry_or_type_interaction,0.672316384180791,0.0002207262247490386,140,156,16,37,21,58,1.1238697701812483,2.1511694489773987,1.7254083268741718,2.260610779088168,1.6780633262898057,1.403075465564833,15.039110112412502,13.310681138612658,4.059224619922592,2.703366622916236
26,geometry_or_type_interaction,0.6486486486486487,0.00022647281002718955,105,139,34,43,9,52,1.093366242703786,1.378408617416217,1.3877040733298092,1.7593919566860254,2.3939949215335243,1.3120556554079368,16.27808801426935,15.920001111999184,5.581130165557493,2.903999895505603
27,rare_y_bin_wrong,0.7619047619047619,0.0001062850933521986,137,122,-15,10,25,35,0.5562277809711795,1.0225890665707529,0.6277925612842354,1.0237801717630592,1.0930176455657135,0.6077619187724289,30.475579231431617,30.80416803881529,5.213483539525054,4.424856655482721
28,rare_y_bin_wrong,0.72,0.00015780124522279948,116,142,26,34,8,42,0.5907553554774527,1.3594382746392104,0.95398830452972,1.3641551535365968,1.689445145356216,0.6323579790500724,28.002738623941063,27.494732224031885,6.1792468636314615,4.788426271334506
29,rare_y_bin_wrong,0.6787878787878788,0.00014057711814530194,140,137,-3,25,28,53,0.3540420052567573,1.7301851571765205,0.942139427071045,1.7424966169092753,1.0528428676438728,0.5754775949391305,28.427564010267645,28.607139136010165,6.073570759748758,5.195190873634612
