sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius,hidden_dim,num_layers
14,13.723066329956055,0.1486317366361618,39942.09765625,165.99159240722656,853,864,0.9227323532104492,0.09446410089731216,6.114959716796875,0.07537688314914703,6.111111640930176,3.0,1.0,7.0,three,5.0,32,2
15,12.173454284667969,0.1320928931236267,26002.791015625,123.65562438964844,1118,1119,0.9919857382774353,-1.7792448997497559,3.1013171672821045,-1.7893085479736328,3.0972824096679688,3.0,1.0,7.0,three,5.0,32,2
16,19.733713150024414,0.3107070326805115,62672.9609375,220.36544799804688,891,888,0.8865323662757874,4.7974724769592285,6.156968116760254,4.824120998382568,6.161616325378418,3.0,1.0,7.0,three,5.0,32,2
17,14.806831359863281,0.0856061577796936,30785.287109375,139.08058166503906,1561,1560,0.9929757118225098,-0.96415776014328,6.171515941619873,-0.959895670413971,6.166731357574463,3.0,1.0,7.0,three,5.0,32,2
18,25.963043212890625,0.2528616786003113,41130.60546875,160.83653259277344,733,729,0.8888888955116272,3.339926242828369,5.461573123931885,3.3919599056243896,5.454545497894287,3.0,1.0,7.0,three,5.0,32,2
19,15.088029861450195,0.539006233215332,67224.5703125,240.05262756347656,577,581,0.7897990942001343,2.5386464595794678,5.608423709869385,2.4620089530944824,5.67847204208374,3.0,1.0,7.0,three,5.0,32,2
20,12.200900077819824,0.14553827047348022,24269.73046875,117.62276458740234,487,492,0.9540917873382568,-7.230454444885254,5.248791694641113,-7.236180305480957,5.252525329589844,3.0,1.0,7.0,three,5.0,32,2
21,37.489070892333984,4.516391277313232,117851.1328125,320.4466552734375,1802,853,0.30659449100494385,0.8941489458084106,6.623224258422852,3.316141128540039,5.5536603927612305,3.0,1.0,7.0,three,5.0,32,2
22,35.073326110839844,0.2952888607978821,47494.4140625,182.17800903320312,739,748,0.8587499856948853,-5.866851806640625,6.090266704559326,-5.879396915435791,6.111111164093018,3.0,1.0,7.0,three,5.0,32,2
23,57.422142028808594,26.2347412109375,132361.5,297.8416748046875,5038,1486,0.28907331824302673,-1.2747341394424438,6.164222240447998,1.7919001579284668,4.681947231292725,3.0,1.0,7.0,three,5.0,32,2
24,45.02784729003906,0.7269173860549927,66231.1796875,204.15663146972656,967,900,0.796920120716095,7.583756446838379,3.5116419792175293,7.726465225219727,3.389786720275879,3.0,1.0,7.0,three,5.0,32,2
25,8.20761775970459,0.07059242576360703,22710.8671875,114.75495910644531,1046,1044,0.9961795806884766,2.1829030513763428,4.294281482696533,2.183907985687256,4.293025970458984,3.0,1.0,7.0,three,5.0,32,2
26,5.994176387786865,0.1807066947221756,35211.5703125,141.86781311035156,601,601,0.9232000112533569,-2.8044967651367188,4.577219486236572,-2.786687135696411,4.559068202972412,3.0,1.0,7.0,three,5.0,32,2
27,134.62733459472656,52.320159912109375,117988.7578125,220.35470581054688,3555,1798,0.48859843611717224,1.136844515800476,5.33029317855835,0.5951336622238159,3.266817569732666,3.0,1.0,7.0,three,5.0,32,2
28,50.67665100097656,117.58660888671875,221704.0625,320.1016540527344,5408,1327,0.23238793015480042,-0.26228591799736023,5.879056930541992,-2.69067645072937,4.680337905883789,3.0,1.0,7.0,three,5.0,32,2
29,18.139406204223633,0.13127778470516205,33094.3515625,150.3201904296875,555,557,0.9821746945381165,0.23074835538864136,5.872964382171631,0.23452089726924896,5.872005462646484,3.0,1.0,7.0,three,5.0,32,2
