run,split,sample_index,hard_case_type,polygon_iou,zero_iou,component_count,all_bins_correct,max_x_bin_abs_error,max_y_bin_abs_error,mean_hard_center_l2_error_grid,mean_soft_center_l2_error_grid,mean_local_vertex_mae_grid,mean_decoded_vertex_mae
soft_decoded_center_consistency,train,11,both_bins_wrong_like,1.0,0,1,1,0.0,0.0,0.01887220965276729,0.018877165116039454,0.015337735414505005,6.365316949086264e-06
soft_decoded_center_consistency,train,12,geometry_or_type_interaction,0.9905660377358491,0,2,1,0.0,0.0,0.012846293619216763,0.012782246951327682,0.014466248452663422,5.957170287729241e-06
soft_decoded_center_consistency,train,13,geometry_or_type_interaction,1.0,0,2,1,0.0,0.0,0.01052328558377577,0.010543287526907011,0.005974695086479187,2.8121794457547367e-06
soft_decoded_center_consistency,train,14,geometry_or_type_interaction,1.0,0,3,1,0.0,0.0,0.010765017135689512,0.010645125725556953,0.0057236502567927046,2.639947827750196e-06
soft_decoded_center_consistency,train,15,geometry_or_type_interaction,1.0,0,2,1,0.0,0.0,0.013746033316784676,0.013663812665410942,0.01172620803117752,4.992922185920179e-06
soft_decoded_center_consistency,train,16,geometry_or_type_interaction,1.0,0,2,1,0.0,0.0,0.011561530997643548,0.011558993514310138,0.0029149800539016724,2.0604056771844625e-06
soft_decoded_center_consistency,train,17,rare_y_bin_wrong,0.9712230215827338,0,1,1,0.0,0.0,0.02397688621594368,0.02433091205250188,0.00523124635219574,4.404981154948473e-06
soft_decoded_center_consistency,train,18,rare_y_bin_wrong,1.0,0,1,1,0.0,0.0,0.023658844674748075,0.02454780272932754,0.007444202899932861,4.699773853644729e-06
soft_decoded_center_consistency,train,19,rare_y_bin_wrong,0.9629629629629629,0,1,1,0.0,0.0,0.02093528867743256,0.01971428113768718,0.007269352674484253,4.545116098597646e-06
soft_decoded_center_consistency,train,20,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.025425398728651016,0.025136207565065804,0.02231353521347046,9.425435564480722e-06
soft_decoded_center_consistency,train,21,x_bin_wrong_like,0.9790575916230366,0,1,1,0.0,0.0,0.030268670770018175,0.031248458321159932,0.03831982612609863,1.5414072549901903e-05
soft_decoded_center_consistency,train,22,x_bin_wrong_like,0.8571428571428571,0,1,1,0.0,0.0,0.02585493288921463,0.026008030499714226,0.02002313733100891,8.709559551789425e-06
soft_decoded_center_consistency,train,23,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.021807045716683487,0.021755799673737926,0.011838734149932861,5.700061592506245e-06
soft_decoded_center_consistency,train,24,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.03075638263085329,0.030972335728315287,0.03180471062660217,1.3364602637011558e-05
soft_decoded_center_consistency,train,25,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.02183238945328719,0.021744420238414195,0.01712659001350403,7.6405267463997e-06
soft_decoded_center_consistency,train,26,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.02397761004172291,0.02389475878935623,0.027450740337371826,1.1200834705960006e-05
soft_decoded_center_consistency,train,27,x_bin_wrong_like,0.9868995633187773,0,1,1,0.0,0.0,0.02633503941952425,0.026464507727885958,0.030468910932540894,1.2145290384069085e-05
soft_decoded_center_consistency,train,28,x_bin_wrong_like,1.0,0,1,1,0.0,0.0,0.03195349852749223,0.031954403519947355,0.036529868841171265,1.4917241060175002e-05
soft_decoded_center_consistency,train,29,x_bin_wrong_like,0.9907834101382489,0,1,1,0.0,0.0,0.020697701344551688,0.02043906999466347,0.028105586767196655,1.073220482794568e-05
soft_decoded_center_consistency,val,0,bins_correct_center_or_offset_bad,0.0,1,1,0,1.0,4.0,30.252483741019226,30.227530349020185,0.5066065788269043,0.0037951343692839146
soft_decoded_center_consistency,val,1,bins_correct_center_or_offset_bad,0.0,1,1,0,8.0,0.0,68.10441093849938,45.6194082435181,6.747838020324707,0.013933083973824978
soft_decoded_center_consistency,val,2,both_bins_wrong_like,0.0,1,1,0,0.0,1.0,10.052105503662702,4.066194892903226,0.3288513422012329,0.0011433807667344809
soft_decoded_center_consistency,val,3,both_bins_wrong_like,0.0,1,2,0,4.0,3.0,33.068461735410295,32.316914503560994,2.966553509235382,0.007071485510095954
soft_decoded_center_consistency,val,4,geometry_or_type_interaction,0.0,1,2,0,1.0,1.0,10.78478424355626,9.657050331428863,2.9409430027008057,0.002359837351832539
