sample_index,loss_phi_final,loss_mu_final,mu_mse_final,mu_mae_final,defect_area_pred,defect_area_label,defect_iou,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,lambda_area_prior,lambda_mask_prior,lambda_mask_bce_prior,center_mode,test_radius
74,11.203563690185547,0.2945622205734253,40258.671875,168.23817443847656,786,729,0.7886658906936646,6.3002028465271,7.793455600738525,6.312117099761963,7.66485071182251,5.0,1.0,5.0,three,5.0
75,7.208012104034424,0.19919295608997345,44185.9921875,169.9476776123047,666,667,0.9748148322105408,4.9911723136901855,3.0301513671875,4.988774299621582,3.0210649967193604,5.0,1.0,5.0,three,5.0
76,109.1329574584961,43.416900634765625,93981.3515625,106.6609878540039,3602,1848,0.454108864068985,-2.6156322956085205,4.6408843994140625,-2.67653226852417,6.884647369384766,5.0,1.0,5.0,three,5.0
77,16.69454574584961,0.14415107667446136,45570.15625,183.27098083496094,960,955,0.9742268323898315,5.823021411895752,3.0980639457702637,5.812702655792236,3.124755382537842,5.0,1.0,5.0,three,5.0
78,4.772538661956787,0.11856621503829956,27628.861328125,124.61769104003906,549,551,0.9400352835655212,3.209078311920166,5.704771041870117,3.1892220973968506,5.706795692443848,5.0,1.0,5.0,three,5.0
79,55.76028060913086,12.061097145080566,35403.9609375,74.89973449707031,1463,968,0.567375898361206,5.917574882507324,5.390404224395752,6.53427267074585,3.418064832687378,5.0,1.0,5.0,three,5.0
80,19.138715744018555,33.561256408691406,82653.0390625,130.9788055419922,2490,929,0.30845770239830017,1.9469636678695679,7.4806294441223145,2.0645477771759033,5.777581691741943,5.0,1.0,5.0,three,5.0
81,4.950275421142578,0.12098148465156555,32003.904296875,150.04116821289062,616,624,0.9871794581413269,-0.30150753259658813,3.0880229473114014,-0.30150753259658813,3.080808162689209,5.0,1.0,5.0,three,5.0
82,7.5327348709106445,0.11990389972925186,19256.552734375,113.16169738769531,338,343,0.9346590638160706,-0.31399601697921753,3.9423820972442627,-0.30744099617004395,3.944106101989746,5.0,1.0,5.0,three,5.0
83,19.230783462524414,0.364413321018219,43262.30078125,182.66552734375,660,664,0.8491619825363159,2.387619733810425,5.797826766967773,2.3058061599731445,5.849458694458008,5.0,1.0,5.0,three,5.0
84,15.42038631439209,0.264367938041687,41562.84765625,177.0159454345703,557,564,0.8652245998382568,1.2194275856018066,5.582756996154785,1.2132470607757568,5.66140079498291,5.0,1.0,5.0,three,5.0
85,7.133060932159424,0.3000190258026123,33198.8046875,146.90574645996094,411,406,0.7382978796958923,7.637274265289307,4.248322486877441,7.619377613067627,4.243668079376221,5.0,1.0,5.0,three,5.0
86,32.344093322753906,49.810977935791016,188703.078125,357.4783935546875,4052,1371,0.2887357473373413,3.634944200515747,6.224086761474609,1.331438422203064,3.672980546951294,5.0,1.0,5.0,three,5.0
87,13.875725746154785,0.25681859254837036,39656.38671875,164.43832397460938,468,462,0.8674699068069458,3.673173427581787,4.992446422576904,3.693467140197754,5.0,5.0,1.0,5.0,three,5.0
88,9.261848449707031,0.12868690490722656,28848.140625,131.13172912597656,501,503,0.9087452292442322,-1.7288538217544556,6.357990741729736,-1.712688684463501,6.36785364151001,5.0,1.0,5.0,three,5.0
89,12.431838989257812,0.09888666123151779,28392.390625,133.35308837890625,661,661,0.990963876247406,-0.5725678205490112,5.370955944061279,-0.5693748593330383,5.372025966644287,5.0,1.0,5.0,three,5.0
90,19.053422927856445,0.2772749066352844,46009.9765625,173.6236572265625,764,736,0.9280205368995667,4.990856647491455,4.648580074310303,5.003960132598877,4.627251148223877,5.0,1.0,5.0,three,5.0
91,17.29936981201172,0.5285515189170837,72122.6875,242.2362060546875,724,721,0.8766233921051025,2.5151309967041016,5.961130619049072,2.507927894592285,5.996160984039307,5.0,1.0,5.0,three,5.0
92,14.711088180541992,0.1919870674610138,38264.24609375,146.02452087402344,753,740,0.9490861892700195,-5.167771339416504,6.753591537475586,-5.180429458618164,6.778186321258545,5.0,1.0,5.0,three,5.0
93,13.05272388458252,0.27946412563323975,37495.3828125,151.60455322265625,601,579,0.7744361162185669,-7.257879257202148,4.08342981338501,-7.254015922546387,4.100765705108643,5.0,1.0,5.0,three,5.0
94,4.93060827255249,0.12874864041805267,20704.962890625,107.8562240600586,471,473,0.9070706963539124,2.788304328918457,5.850650787353516,2.7714152336120605,5.856236934661865,5.0,1.0,5.0,three,5.0
95,8.16269302368164,109.43212890625,261553.609375,341.62725830078125,6357,1130,0.17775680124759674,0.517440915107727,6.385357856750488,2.948770523071289,5.598283767700195,5.0,1.0,5.0,three,5.0
96,17.7152099609375,0.15457192063331604,30702.77734375,142.91119384765625,588,594,0.8821656107902527,-6.24038553237915,3.985260248184204,-6.256280899047852,3.989898920059204,5.0,1.0,5.0,three,5.0
97,90.50067138671875,1.1834031343460083,70431.6796875,219.62164306640625,1063,1080,0.8394849896430969,5.786009311676025,4.412326335906982,5.804019927978516,4.39393949508667,5.0,1.0,5.0,three,5.0
98,18.086963653564453,0.11953283846378326,26729.748046875,129.47833251953125,778,778,0.9696202278137207,-6.534149169921875,5.340941905975342,-6.544225215911865,5.342888832092285,5.0,1.0,5.0,three,5.0
99,10.411507606506348,0.2681882083415985,58039.08984375,213.24517822265625,562,552,0.8913412690162659,4.042454242706299,5.870808124542236,4.070352077484131,5.858585357666016,5.0,1.0,5.0,three,5.0
